name,1816,1886,1950,2020
League of Nations,?,International,?,?
United Nations,?,International,International,International
United States of America,Sovereign,Sovereign,Sovereign,Sovereign
Alaska,Colony of,Colony of,Colony of,Part of
Hawaii (Sandwich Is.),Sovereign (limited),Sovereign (limited),Colony of,Part of
Virgin Islands (Danish West Indies),Colony of,Colony of,Colony of,Colony of
Puerto Rico,Part of,Colony of,Colony of,Dependency of
Texas,Part of,Part of,Part of,Part of
Greenland,Colony of,Colony of,Colony of,Dependency of
Faeroe Is.,Colony of,Colony of,Dependency of,Dependency of
Canada (Province of Canada),Colony of,Colony of,Sovereign,Sovereign
Newfoundland and Labrador (Newfoundland),Colony of,Colony of,Part of,Part of
Bermuda,Colony of,Colony of,Colony of,Colony of
Bahamas,Colony of,Colony of,Colony of,Sovereign
Cuba,Part of,Colony of,Sovereign,Sovereign
Haiti,Sovereign (unrecognized),Sovereign,Sovereign,Sovereign
Dominican Republic (Santo Domingo),Part of,Sovereign,Sovereign,Sovereign
West Indies Federation,?,?,Colony of,?
Jamaica,Colony of,Colony of,Colony of,Sovereign
Trinidad and Tobago,?,Colony of,Colony of,Sovereign
Barbados,Colony of,Colony of,Colony of,Sovereign
Dominica,Colony of,Part of,Part of,Sovereign
Grenada,Colony of,Part of,Part of,Sovereign
St. Lucia,Colony of,Part of,Part of,Sovereign
St. Vincent and the Grenadines,Colony of,Part of,Part of,Sovereign
Antigua and Barbuda (Antigua),Colony of,Part of,Part of,Sovereign
Montserrat,Colony of,Part of,Part of,Colony of
St. Kitts-Nevis,Part of,Part of,Part of,Sovereign
Guadeloupe,Colony of,Colony of,Part of,Part of
Martinique,Colony of,Colony of,Part of,Part of
Netherlands Antilles,Colony of,Colony of,Colony of,?
Mexico,Part of,Sovereign,Sovereign,Sovereign
Belize (British Honduras),Occupied by,Colony of,Colony of,Sovereign
United States of Central America,Colony of,?,?,?
Guatemala,Part of,Sovereign,Sovereign,Sovereign
Honduras,Part of,Sovereign,Sovereign,Sovereign
El Salvador,Part of,Sovereign,Sovereign,Sovereign
Nicaragua,Part of,Sovereign,Sovereign,Sovereign
Costa Rica,Part of,Sovereign,Sovereign,Sovereign
Panama,Colony of,Part of,Sovereign,Sovereign
Panama Canal Zone,Part of,Part of,Leased to,Part of
Colombia (New Granada) (Gran Colombia),Colony of,Sovereign,Sovereign,Sovereign
Venezuela,Colony of,Sovereign,Sovereign,Sovereign
Guyana (British Guiana),Colony of,Colony of,Colony of,Sovereign
Surinam (Dutch Guiana),Colony of,Colony of,Colony of,Sovereign
French Guiana,Occupied by,Colony of,Part of,Part of
Ecuador,Colony of,Sovereign,Sovereign,Sovereign
Peru,Part of,Sovereign,Sovereign,Sovereign
Bolivia-Peru Confederation,Sovereign (unrecognized),?,?,?
Brazil,Colony of,Sovereign,Sovereign,Sovereign
Bolivia,Colony of,Sovereign,Sovereign,Sovereign
Paraguay,Sovereign,Sovereign,Sovereign,Sovereign
Chile,Part of,Sovereign,Sovereign,Sovereign
Argentina (La Plata),Sovereign,Sovereign,Sovereign,Sovereign
Uruguay,Part of,Sovereign,Sovereign,Sovereign
United Kingdom,Sovereign,Sovereign,Sovereign,Sovereign
Ireland,Part of,Part of,Sovereign,Sovereign
Netherlands,Sovereign,Sovereign,Sovereign,Sovereign
Belgium,Part of,Sovereign,Sovereign,Sovereign
Luxemburg,Sovereign (limited),Sovereign (limited),Sovereign,Sovereign
France,Sovereign,Sovereign,Sovereign,Sovereign
Monaco,Protectorate of,Sovereign (unrecognized),Sovereign (unrecognized),Sovereign
Liechtenstein,Sovereign (limited),Sovereign (unrecognized),Sovereign (unrecognized),Sovereign
Switzerland,Sovereign,Sovereign,Sovereign,Sovereign
Spain,Sovereign,Sovereign,Sovereign,Sovereign
Gibraltar,Colony of,Colony of,Colony of,Colony of
Andorra,Sovereign (unrecognized),Sovereign (unrecognized),Sovereign (unrecognized),Sovereign
Portugal,Sovereign,Sovereign,Sovereign,Sovereign
Prussia,Sovereign,Part of,?,?
Hanover,Sovereign (unrecognized),Part of,?,?
Anhalt Dessau,Sovereign (limited),?,?,?
Anhalt Köthen,Sovereign (limited),?,?,?
Anhalt Bernburg,Sovereign (limited),?,?,?
Brunswick,Sovereign (limited),Part of,?,?
Bavaria,Sovereign,Part of,Part of,Part of
Bremen,Sovereign (unrecognized),Part of,Part of,Part of
Frankfurt,Sovereign (unrecognized),Part of,?,?
Hamburg,Sovereign (unrecognized),Part of,Part of,Part of
Saxony Anhalt (Anhalt),Sovereign (limited),Part of,Part of,Part of
Hohenzollern Hechingen,Sovereign (limited),Part of,?,?
Hohenzollern Sigmaringen,Sovereign (limited),Part of,?,?
Lippe,Sovereign (limited),Part of,Part of,Part of
Mecklenburg Strelitz,Sovereign (limited),Part of,?,?
Nassau,Sovereign (limited),Part of,?,?
Germany (Zollverein),Informal,Sovereign,Sovereign,Sovereign
Saar,Part of,Part of,Protectorate of,Part of
Oldenburg,Sovereign (limited),Part of,?,?
"Reuss, Older Line",Sovereign (limited),Part of,?,?
"Reuss, Younger Line",Sovereign (limited),Part of,?,?
German Federal Republic,?,Occupied by,Sovereign (unrecognized),?
Saxe Weimar Eisenach,Sovereign (limited),Part of,?,?
Saxe Altenburg,Sovereign (limited),Part of,Part of,Part of
Saxe Gotha Altenburg,Sovereign (limited),?,?,?
Saxe Coburg and Gotha,Sovereign (limited),Part of,?,?
German Democratic Republic,?,Occupied by,Sovereign (unrecognized),?
Saxe Meiningen,Sovereign (limited),Part of,?,?
Baden,Sovereign,Part of,Occupied by,Part of
Schwarzburg Sondershausen,Sovereign (limited),Part of,?,?
Saxony,Sovereign,Part of,Part of,Part of
Schwarzburg Rudolstadt,Sovereign (limited),Part of,?,?
Wuerttemberg,Sovereign,Part of,Occupied by,Part of
Waldeck and Pyrmont,Sovereign (limited),Part of,?,?
Hesse Electoral,Sovereign,Part of,?,?
Schaumburg Lippe,Sovereign (limited),Part of,?,?
People’s State of Hesse (Hesse Grand Ducal),Sovereign,Part of,?,?
Lübeck,Sovereign (limited),Part of,?,?
Hesse Homburg,Sovereign (limited),Part of,?,?
Mecklenburg Schwerin,Sovereign (limited),Part of,?,?
Mecklenburg,?,Part of,?,?
Mecklenburg Vorpommern,?,Occupied by,Part of,Part of
Poland,Dissolved into,Sovereign,Sovereign,Sovereign
Danzig (Free City of Danzig),Part of,Part of,Part of,Part of
Austria-Hungary (Austrian Empire),Sovereign,Sovereign,?,?
Austria,Part of,Part of,Occupied by,Sovereign
Hungary,Part of,Part of,Sovereign,Sovereign
Czechoslovakia,?,Sovereign,Sovereign,?
Czech Republic,Part of,Part of,Part of,Sovereign
Slovakia,Part of,Part of,Part of,Sovereign
Kingdom of Sardinia,Sovereign,?,?,?
Italy,Informal,Sovereign,Sovereign,Sovereign
Trieste,Part of,Part of,Mandated to,Part of
Papal States,Sovereign,?,?,?
Vatican City,Part of,Part of,Sovereign (unrecognized),Sovereign
Two Sicilies,Sovereign,?,?,?
San Marino,Sovereign (unrecognized),Sovereign (unrecognized),Sovereign (unrecognized),Sovereign
Modena,Part of,?,?,?
Parma,Sovereign (unrecognized),?,?,?
Lucca,Part of,?,?,?
Tuscany,Sovereign,?,?,?
Malta,Colony of,Colony of,Colony of,Sovereign
Albania,Part of,Part of,Sovereign,Sovereign
Montenegro,Vassal of,Sovereign,Part of,Sovereign
Kingdom of Serbia,Vassal of,Sovereign,?,?
North Macedonia (Former Yugoslav Republic of Macedonia) (Macedonia),Part of,Part of,Part of,Sovereign
Croatia,Part of,Part of,Part of,Sovereign
"Yugoslavia (Kingdom of Serbs, Croats and Slovenes)",?,Sovereign,Sovereign,?
Bosnia-Herzegovina,Part of,Occupied by,Part of,Sovereign
Kosovo,Part of,Part of,Part of,Sovereign (unrecognized)
Serbia (Serbia and Montenegro) (Federal Republic of Yugoslavia),?,?,Sovereign,Sovereign
Slovenia,Part of,Part of,Part of,Sovereign
Greece,Part of,Sovereign,Sovereign,Sovereign
Crete,Part of,Part of,Part of,Part of
Cyprus,Part of,Protectorate of,Colony of,Sovereign
Bulgaria,Part of,Vassal of,Sovereign,Sovereign
Moldova (Bessarabia) (Moldavian Republic),Part of,Part of,Part of,Sovereign
Romania,Vassal of,Sovereign,Sovereign,Sovereign
Russia (USSR),Sovereign,Sovereign,Sovereign,Sovereign
Estonia,Part of,Part of,Occupied by,Sovereign
Latvia,Part of,Part of,Occupied by,Sovereign
Lithuania,Part of,Part of,Occupied by,Sovereign
Ukraine,Part of,Part of,Part of,Sovereign
Belarus (Byelorussia),Part of,Part of,Part of,Sovereign
Armenia,Part of,Part of,Part of,Sovereign
Georgia,Part of,Part of,Part of,Sovereign
Azerbaijan,Part of,Part of,Part of,Sovereign
Transcaucasia,Part of,Part of,?,?
Finland,Part of,Part of,Sovereign,Sovereign
Chechen-Ingush Republic,?,Part of,Part of,?
Sweden,Sovereign,Sovereign,Sovereign,Sovereign
Norway,Sovereign (limited),Sovereign (limited),Sovereign,Sovereign
Denmark,Sovereign,Sovereign,Sovereign,Sovereign
Iceland,Colony of,Colony of,Sovereign,Sovereign
European Union (European Economic Community),?,?,Informal,Informal
Azores (Western Isles),Colony of,Part of,Part of,Dependency of
Madeira Isles,Colony of,Part of,Part of,Dependency of
Cape Verde,Colony of,Colony of,Colony of,Sovereign
Sao Tome-Principe,Colony of,Colony of,Colony of,Sovereign
Guinea-Bissau (Portuguese Guinea),Part of,Colony of,Colony of,Sovereign
Canary Is.,Colony of,Part of,Part of,Part of
Equatorial Guinea (Spanish Guinea),Colony of,Colony of,Colony of,Sovereign
Río Muni,Part of,Part of,Part of,Part of
Fernando Po (Bioko),Colony of,Part of,Part of,Part of
Gambia,Colony of,Part of,Colony of,Sovereign
French West Africa,?,Colony of,Colony of,?
Mali Federation,?,?,Associated state of,?
Mali (French Sudan) (Upper Senegal and Niger),Sovereign (unrecognized),Colony of,Part of,Sovereign
Senegal,Colony of,Colony of,Part of,Sovereign
Benin (Dahomey),Part of,Part of,Part of,Sovereign
Mauritania,Part of,Part of,Part of,Sovereign
Niger,Part of,Part of,Part of,Sovereign
Ivory Coast,Part of,Protectorate of,Part of,Sovereign
Guinea (French Guinea) (Rivieres du Sud),Part of,Part of,Part of,Sovereign
Burkina Faso (Upper Volta),Part of,Part of,Colony of,Sovereign
Liberia,Colony of,Sovereign (unrecognized),Sovereign,Sovereign
Sierra Leone,Colony of,Colony of,Protectorate of,Sovereign
Ghana (Gold Coast),Colony of,Colony of,Colony of,Sovereign
German Togoland,Protectorate of,Protectorate of,?,?
Togo (French Togoland),?,Mandated to,Mandated to,Sovereign
British Togoland,?,Mandated to,Mandated to,?
Kamerun,Colony of,Colony of,Part of,?
Cameroun (French Cameroon),?,Occupied by,Mandated to,Sovereign
British Cameroons,?,Occupied by,Mandated to,?
Nigeria,?,Colony of,Colony of,Sovereign
French Equatorial Africa,?,Colony of,Colony of,?
Gabon,Discovered,Protectorate of,Part of,Sovereign
Central African Republic (Ubangi Shari),?,Claimed by,Part of,Sovereign
Chad,Sovereign (unrecognized),Sovereign (unrecognized),Part of,Sovereign
Congo (Brazzaville) (French Congo) (Middle Congo),Discovered,Colony of,Part of,Sovereign
Democratic Republic of the Congo (Zaire) (Kinshasa) (Belgian Congo) (Congo Free State),Discovered,Possession of,Colony of,Sovereign
Uganda,Sovereign (unrecognized),Sovereign (unrecognized),Protectorate of,Sovereign
Kenya (British East Africa Protectorate),Discovered,Discovered,Colony of,Sovereign
German East Africa,Colony of,Colony of,?,?
Zanzibar,Colony of,Sovereign (unrecognized),Protectorate of,Part of
Tanzania (Tanganyika),Unknown,Protectorate of,Mandated to,Sovereign
Ruanda-Urundi,?,Occupied by,Mandated to,?
Burundi,Sovereign (unrecognized),Sovereign (unrecognized),Part of,Sovereign
Rwanda,Sovereign (unrecognized),Part of,Part of,Sovereign
Somalia,Sovereign (unrecognized),Part of,Part of,Sovereign
Somaliland Republic (British Somaliland),Part of,Protectorate of,Colony of,Sovereign (unrecognized)
Djibouti (Afar and Issas) (French Somaliland),Part of,Colony of,Colony of,Sovereign
Ethiopia (Abyssinia),Sovereign (unrecognized),Sovereign (unrecognized),Sovereign,Sovereign
Eritrea,Part of,Colony of,Protectorate of,Sovereign
Angola,Colony of,Colony of,Colony of,Sovereign
Mozambique (Portuguese East Africa),Colony of,Colony of,Colony of,Sovereign
Federation of Rhodesia and Nyasaland,?,?,Colony of,?
Zambia (Northern Rhodesia),?,Part of,Protectorate of,Sovereign
Zimbabwe (Rhodesia) (Southern Rhodesia),?,Protectorate of,Colony of,Sovereign
Malawi (Nyasaland) (British Central Africa Protectorate),Discovered,Discovered,Protectorate of,Sovereign
South Africa,?,Colony of,Sovereign,Sovereign
Cape Colony (Cape of Good Hope),Colony of,Colony of,Part of,Part of
Natal,Discovered,Colony of,Part of,Part of
Transvaal (South African Republic),Sovereign (unrecognized),Sovereign (unrecognized),Part of,Part of
Orange Free State (Orange River Colony),Discovered,Sovereign (unrecognized),Part of,Part of
Namibia (South West Africa) (German South West Africa),Discovered,Colony of,Mandated to,Sovereign
Transkei,?,?,Sovereign (unrecognized),Part of
Bophuthatswana,?,?,Sovereign (unrecognized),Part of
Venda,?,?,Sovereign (unrecognized),Part of
Ciskei,?,Part of,Part of,Part of
Lesotho (Basutoland),Sovereign (unrecognized),Colony of,Colony of,Sovereign
Botswana (Bechuanaland),Discovered,Protectorate of,Protectorate of,Sovereign
Eswatini (Swaziland),Sovereign (unrecognized),Sovereign (unrecognized),Protectorate of,Sovereign
Madagascar (Malagasy Republic),Sovereign (unrecognized),Protectorate of,Colony of,Sovereign
Comoros,?,Protectorate of,Dependency of,Sovereign
Reunion (Bourbon I.),Colony of,Colony of,Part of,Part of
Mauritius,Colony of,Colony of,Colony of,Sovereign
Seychelles,Part of,Part of,Colony of,Sovereign
Morocco,Sovereign (unrecognized),Sovereign,Protectorate of,Sovereign
Tangier,Part of,Part of,Sovereign (unrecognized),Part of
Spanish Morocco,?,Protectorate of,Part of,?
Ifni,Part of,Part of,Colony of,Part of
Sahrawi Arab Democratic Republic (Western Sahara) (Spanish Sahara),Protectorate of,Protectorate of,Protectorate of,Sovereign (unrecognized)
Spanish West Africa,?,Colony of,Colony of,?
Algeria (Regency of Algiers),Part of,Colony of,Colony of,Sovereign
Tunisia (Regency of Tunis),Vassal of,Protectorate of,Protectorate of,Sovereign
Libya,?,Colony of,Occupied by,Sovereign
Sudan (Anglo-Egyptian Sudan) (Mahdist State),Part of,Sovereign (unrecognized),Protectorate of,Sovereign
South Sudan,?,?,Sovereign,Sovereign
Iran (Persia),Sovereign (unrecognized),Sovereign,Sovereign,Sovereign
Turkey (Ottoman Empire),Sovereign,Sovereign,Sovereign,Sovereign
Iraq (Mesopotamia),Part of,Part of,Sovereign,Sovereign
Egypt Arab Republic (Egypt),Sovereign (unrecognized),Occupied by,Sovereign,Sovereign
Syria,Part of,Part of,Sovereign,Sovereign
Lebanon,Part of,Part of,Sovereign,Sovereign
Jordan (Transjordan),Part of,Part of,Sovereign,Sovereign
Palestine,Part of,Part of,Occupied by,Sovereign
Israel,?,Sovereign,Sovereign,Sovereign
Saudi Arabia (Emirate of Nejd) (Emirate of Diriyah),Sovereign (unrecognized),Sovereign (unrecognized),Sovereign,Sovereign
Hejaz Sultanate,Unknown,Part of,Part of,Part of
Asir,Vassal of,Occupied by,Part of,Part of
Al Hasa,Part of,Occupied by,Part of,Part of
Jabal Shammar,Vassal of,Vassal of,Part of,Part of
Yemen Arab Republic (North Yemen) (Kingdom of Yemen),Sovereign (unrecognized),Part of,Sovereign,?
Yemen,?,?,Sovereign,Sovereign
Yemen People's Republic (South Yemen),?,?,Sovereign,?
Aden,Part of,Part of,Colony of,Part of
Aden Protectorate,Protectorate of,Protectorate of,?,?
Kuwait,Sovereign (unrecognized),Sovereign (unrecognized),Protectorate of,Sovereign
Bahrain,Part of,Protectorate of,Protectorate of,Sovereign
Qatar,Dependency of,Vassal of,Protectorate of,Sovereign
United Arab Emirates (Trucial Oman),Sovereign (unrecognized),Sovereign (unrecognized),Protectorate of,Sovereign
Oman (Sultanate of Muscat and Oman),Sovereign (unrecognized),Sovereign (unrecognized),Sovereign (unrecognized),Sovereign
Afghanistan,Sovereign (unrecognized),Protectorate of,Sovereign,Sovereign
Turkmenistan,Part of,Part of,Part of,Sovereign
Tajikistan,Part of,Part of,Part of,Sovereign
Kyrgyzstan,Part of,Part of,Part of,Sovereign
Uzbekistan,Part of,Part of,Part of,Sovereign
Kazakhstan,Protectorate of,Part of,Part of,Sovereign
People's Republic of China (China),Sovereign (unrecognized),Sovereign,Sovereign,Sovereign
Manchukuo,?,Occupied by,Part of,Part of
Mongolia,Part of,Part of,Sovereign,Sovereign
Republic of China (Taiwan) (Formosa),Part of,Part of,Sovereign,Sovereign (unrecognized)
Hong Kong,Part of,Colony of,Colony of,Dependency of
Macao,Colony of,Colony of,Colony of,Dependency of
Korea (Chosen),Sovereign (unrecognized),Sovereign (unrecognized),?,?
North Korea (Democratic People's Republic of Korea),?,Occupied by,Sovereign,Sovereign
South Korea (Republic of South Korea),?,Occupied by,Sovereign,Sovereign
Far Eastern Republic,Part of,Part of,Part of,Part of
Japan,Sovereign (unrecognized),Sovereign,Occupied by,Sovereign
Ryukyu Is.,Protectorate of,Part of,Occupied by,Part of
India,Colony of,Colony of,Sovereign,Sovereign
French India,Colony of,Colony of,Colony of,Part of
Portuguese India,Colony of,Colony of,Colony of,?
Bhutan,Part of,Protectorate of,Protectorate of,Sovereign
Sikkim,Part of,Protectorate of,Protectorate of,Part of
Pakistan,Part of,Part of,Sovereign,Sovereign
Bangladesh,?,Part of,Part of,Sovereign
Myanmar (Burma),Sovereign (unrecognized),Sovereign (unrecognized),Sovereign,Sovereign
Sri Lanka (Ceylon),Colony of,Colony of,Sovereign,Sovereign
Maldive Islands,Protectorate of,Protectorate of,Protectorate of,Sovereign
Nepal,Protectorate of,Protectorate of,Sovereign,Sovereign
Thailand (Siam),Sovereign (unrecognized),Sovereign (unrecognized),Sovereign,Sovereign
French Indochina,?,Colony of,Colony of,?
Cambodia (Kampuchea),Vassal of,Protectorate of,Protectorate of,Sovereign
Laos,Part of,Part of,Protectorate of,Sovereign
Vietnam,Sovereign (unrecognized),Sovereign (unrecognized),Associated state of,Sovereign
"Vietnam, Democratic Rep.",?,Colony of,Colony of,?
Republic of Vietnam,?,?,Sovereign,?
Malaysia (British Malaya),Informal,Informal,Colony of,Sovereign
Federated Malay States,?,Colony of,?,?
Sabah (North Borneo),Part of,Leased to,Colony of,Claimed by
Sarawak,Part of,Sovereign (unrecognized),Colony of,Part of
Straits Settlements,Colony of,Colony of,?,?
Singapore,Part of,Part of,Colony of,Sovereign
Brunei,Sovereign (unrecognized),Sovereign (unrecognized),Protectorate of,Sovereign
Philippines,Part of,Colony of,Sovereign,Sovereign
Indonesia (Dutch East Indies),Colony of,Colony of,Sovereign,Sovereign
West Irian (Dutch New Guinea),Part of,Part of,Colony of,Dependency of
East Timor (Portuguese Timor),Colony of,Colony of,Colony of,Sovereign
Australia,Informal,Informal,Sovereign,Sovereign
New South Wales,Colony of,Colony of,Part of,Part of
Western Australia,Discovered,Colony of,Part of,Part of
South Australia,Part of,Colony of,Part of,Part of
Victoria,Part of,Colony of,Part of,Part of
Queensland,Part of,Colony of,Part of,Part of
Tasmania,Part of,Colony of,Part of,Part of
Papua New Guinea,?,Part of,Part of,Sovereign
Papua (British New Guinea),Part of,Protectorate of,Dependency of,?
New Guinea (German New Guinea) (Kaiser Wilhelmsland),Colony of,Colony of,Mandated to,?
New Zealand,Part of,Colony of,Sovereign,Sovereign
Cook Is.,Discovered,Discovered,Colony of,Associated state of
New Caledonia,Sovereign (unrecognized),Colony of,Dependency of,Colony of
Vanuatu (New Hebrides),Discovered,Discovered,Colony of,Sovereign
Solomon Islands (British Solomon Islands Protectorate),Discovered,Discovered,Protectorate of,Sovereign
Gilbert and Ellice Is.,?,Protectorate of,Colony of,?
Kiribati,Discovered,Discovered,Part of,Sovereign
Tuvalu,Discovered,Discovered,Part of,Sovereign
Fiji,Discovered,Colony of,Colony of,Sovereign
Tonga (Haʻapai),Sovereign (unrecognized),Sovereign (unrecognized),Protectorate of,Sovereign
French Polynesia,Sovereign (unrecognized),Protectorate of,Colony of,Colony of
Nauru,Sovereign (unrecognized),Sovereign (unrecognized),Mandated to,Sovereign
U. S. Pacific Trust Territories (South Seas Mandate),?,Mandated to,Mandated to,?
Marshall Is.,Discovered,Protectorate of,Part of,Sovereign
Northern Marianas Is.,Part of,Part of,Part of,Dependency of
Guam,Part of,Part of,Colony of,Colony of
Palau,Part of,Part of,Part of,Sovereign
Federated States of Micronesia,Part of,Part of,Part of,Sovereign
Samoa (Western Samoa) (German Samoa),?,Colony of,Mandated to,Sovereign
American Samoa,?,Colony of,Colony of,Colony of
States of America,Occupied by,?,?,?
Confederate States of America,Sovereign (limited),?,?,?
Attu and Kiska,Part of,Part of,Part of,Part of
North Carolina,Part of,Part of,Part of,Part of
Virginia,Part of,Part of,Part of,Part of
Tennessee,Part of,Part of,Part of,Part of
Arkansas,Part of,Part of,Part of,Part of
Florida,Part of,Part of,Part of,Part of
South Carolina (Palmetto Republic),Part of,Part of,Part of,Part of
Georgia (U.S.),Part of,Part of,Part of,Part of
Alabama,Part of,Part of,Part of,Part of
Mississippi,Part of,Part of,Part of,Part of
Louisiana,Part of,Part of,Part of,Part of
California (Great Bear Republic),Part of,Part of,Part of,Part of
Cherokee,Part of,Part of,Part of,Part of
Oregon (Oregon Country),Claimed by,Part of,Part of,Part of
Eastern Greenland,?,Possession of,Part of,Part of
U.S. Leased Bases in Newfoundland,?,Leased to,Leased to,?
Rupert's Land,Possession of,?,?,?
San Juan Island,Claimed by,Part of,Part of,Part of
Cape Breton I.,Colony of,Part of,Part of,Part of
Nova Scotia,Colony of,Part of,Part of,Part of
New Brunswick,Colony of,Part of,Part of,Part of
Prince Edward Is.,Colony of,Part of,Part of,Part of
Quebec (Lower Canada),Colony of,Part of,Part of,Part of
Ontario (Upper Canada),Colony of,Part of,Part of,Part of
British Columbia,Part of,Part of,Part of,Part of
Vancouver,Discovered,Part of,Part of,Part of
St. Pierre and Miquelon,Colony of,Colony of,Colony of,Dependency of
U.S. Leased Bases in Bermuda,?,Leased to,Leased to,?
Mayaguana,Part of,Part of,Part of,Part of
Turks and Caicos Is.,Part of,Part of,Part of,Colony of
Cayman Is.,Part of,Part of,Part of,Colony of
Guantanamo,Part of,Part of,Leased to,Leased to
North Haiti,Sovereign (unrecognized),Part of,Part of,Part of
Navassa I.,Discovered,Claimed by,Dependency of,Dependency of
Trinidad,Colony of,Colony of,Part of,Part of
Tobago,Colony of,Part of,Part of,Part of
U.S. Leased Bases in Jamaica,?,Leased to,?,?
U.S. Leased Bases in Trinidad,?,Leased to,?,?
Morant Cays,Discovered,Part of,Part of,Part of
Pedro Bank,Discovered,Part of,Part of,Part of
Windward Is.,Colony of,Colony of,Colony of,?
Gros Islet Bay,Part of,Part of,Part of,Part of
Barbuda,Possession of,Part of,Part of,Part of
U.S. Leased Bases in Antigua,?,Leased to,?,?
British Virgin Is.,Colony of,Part of,Part of,Colony of
Anguilla,Colony of,Part of,Part of,Colony of
Leeward Is.,Colony of,Colony of,Colony of,?
St. Barthelemy,Colony of,Part of,Part of,Dependency of
Curacao,Colony of,Part of,Part of,Dependency of
Bonaire,Colony of,Part of,Part of,Dependency of
Saba,Colony of,Part of,Part of,Dependency of
Sint Eustatius,Colony of,Part of,Part of,Dependency of
Aruba,Colony of,Part of,Part of,Dependency of
Viceroyalty of New Spain,Colony of,?,?,?
Yucatan,Part of,Part of,Part of,Part of
Revillagigedo Is,Possession of,Possession of,Possession of,Possession of
Sint Maarten,Colony of,Part of,Part of,Dependency of
Dutch Windward Is.,Part of,Part of,Part of,?
