name,1816,1886,1950,2020
St. Kitts,Colony of,Part of,Part of,Part of
Nevis,Colony of,Part of,Part of,Part of
St. Martin,Part of,Part of,Part of,Dependency of
Mosquito Coast,Colony of,Occupied by,Part of,Part of
Bay Is.,Part of,Part of,Part of,Part of
Swan Is.,Part of,Leased to,Leased to,Part of
Corn Is.,Part of,Part of,Leased to,Part of
Cocos I.,Part of,Possession of,Possession of,Possession of
Panama Canal Operating Area,Part of,Part of,Part of,Leased to
Quita Sueno Bank,Discovered,Claimed by,Claimed by,Part of
Roncador Cay,Discovered,Claimed by,Claimed by,Part of
Serrana Bank,Discovered,Claimed by,Claimed by,Part of
Serranilla Bank,Discovered,Claimed by,Claimed by,Claimed by
San Andres and Providincial Is.,Possession of,Claimed by,Part of,Part of
Malpelo I.,Discovered,Possession of,Possession of,Possession of
Aves I.,Claimed by,Claimed by,Possession of,Possession of
U.S. Leased Bases in Br. Guiana,?,Leased to,?,?
Demerara and Essequibo,Colony of,Part of,Part of,Part of
Berbice,Colony of,Part of,Part of,Part of
Viceroyalty of Peru,Colony of,?,?,?
Free Surinam,Part of,Part of,Part of,Part of
Easter I.,Discovered,Protectorate of,Colony of,Part of
Juan Fernandez I.,Discovered,Discovered,Possession of,Part of
Desventuradas Is. (San Felix and San Ambrosio),Discovered,Discovered,Possession of,Part of
Sala y Gomez,Discovered,Discovered,Possession of,Part of
Araucania,Unknown,Part of,Part of,Part of
Río de la Plata United Provinces,Sovereign (unrecognized),?,?,?
Buenos Aires,Part of,Part of,Part of,Part of
Cordoba,Part of,Part of,Part of,Part of
Falkland Is.,Possession of,Colony of,Colony of,Colony of
South Georgia,Possession of,Part of,Claimed by,Part of
South Georgia and South Sandwich Is.,?,?,Dependency of,Dependency of
San Juan,Part of,Part of,Part of,Part of
Corrientes,Part of,Part of,Part of,Part of
Martin Garcia I.,Part of,Part of,Part of,Part of
Inini,Part of,Part of,Part of,Part of
Galapagos Is.,Discovered,Part of,Part of,Part of
Chincha Is.,Part of,Part of,Part of,Part of
Rio Grande do Sul,Part of,Part of,Part of,Part of
Juliana Republic,Part of,?,?,?
Acre,Part of,Part of,Part of,Part of
St. Paul's Rocks,Discovered,Discovered,Possession of,Possession of
Trindade Island,Discovered,Discovered,Possession of,Possession of
Rockall I.,Discovered,Discovered,Discovered,Part of
Lundy,Part of,Part of,Part of,Part of
Channel Is.,Possession of,Possession of,Dependency of,Dependency of
Isle of Man,Dependency of,Dependency of,Dependency of,Dependency of
UK Bases in Ireland,?,Possession of,Part of,Part of
Limburg,Part of,Part of,Part of,Part of
Moresnet,Neutral or demilitarized zone of,Neutral or demilitarized zone of,Part of,Part of
Alsace Lorraine,Part of,Part of,?,?
Roquebrune and Menton,Part of,Part of,Part of,Part of
Saxe Lauenburg,Sovereign (limited),?,?,?
Schleswig,Sovereign (limited),Part of,Part of,Part of
Holstein,Sovereign (limited),Part of,Part of,Part of
Heligoland,Colony of,Colony of,?,?
Neuchatel,Part of,Part of,Part of,Part of
Spain-Gibraltar Neutral Zone,?,Neutral or demilitarized zone of,Neutral or demilitarized zone of,Neutral or demilitarized zone of
Ile des Faisans,Neutral or demilitarized zone of,Neutral or demilitarized zone of,Neutral or demilitarized zone of,Neutral or demilitarized zone of
Posen-West Prussia,?,Part of,?,?
Bergedorf,Part of,Part of,?,?
Schleswig Plebiscite Zone,Part of,Part of,Part of,Part of
Allenstein Plebiscite Zone,Part of,Part of,?,?
Marienwerder Plebiscite Zone,Part of,Part of,?,?
Silesia Plebiscite Zone,Part of,Part of,?,?
Brandenburg,Part of,Part of,Part of,Part of
Schleswig-Holstein,Part of,Part of,Part of,Part of
Rhineland,Part of,Part of,?,?
Ruhr,Part of,Part of,?,?
Thuringia,?,Part of,Part of,Part of
Berlin (West Berlin),Part of,Part of,Occupied by,Part of
Hesse,?,Part of,Part of,Part of
Lower Saxony,?,Part of,Part of,Part of
North Rhine Westphalia,?,Part of,Part of,Part of
Rhineland Palatinate,?,Part of,Part of,Part of
Baden Wuerttemberg,?,?,Part of,Part of
Saxe Hildburghausen,Sovereign (limited),?,?,?
Congress Poland,Sovereign (limited),Part of,?,?
Province of Posen (Grand Duchy of Posen),Dependency of,Part of,?,?
Cracow (Free City of Cracow),Protectorate of,Part of,?,?
Galicia (Kingdom of Galicia and Lodomeria),Part of,Part of,?,?
Klagenfurt Plebiscite Zone,Part of,Part of,?,?
Vorarlberg,Part of,Part of,Part of,Part of
Tyrol,Part of,Part of,Part of,Part of
Bohemia,Part of,Part of,Part of,Part of
Moravia,Part of,Part of,?,?
Czech Silesia,Part of,Part of,?,?
Carpathian Ruthenia,Part of,Part of,?,?
Carpatho-Ukraine,?,Part of,Part of,Part of
Milan,Part of,?,?,?
Republic of St. Mark,Part of,?,?,?
Lombardy-Venetia,Part of,?,?,?
Ancona,Part of,Part of,Part of,Part of
Sicily,Part of,Part of,Part of,Part of
Venezia-Giulia,Part of,Part of,Part of,Part of
"S.M.O.M. (Sovereign & Military Order of Jerusalem, Rhodes and Malta)",Part of,Sovereign (unrecognized),Sovereign (unrecognized),Sovereign (unrecognized)
Scutari,Part of,Part of,Part of,Part of
Saseno,Part of,Part of,Part of,Part of
Fiume,Part of,Part of,Part of,Part of
Zadar (Zara),Part of,Part of,Part of,Part of
Ionian Is.,Protectorate of,Part of,Part of,Part of
Corfu,Part of,Part of,Part of,Part of
Turkish Republic of Northern Cyprus,?,?,Part of,Sovereign (unrecognized)
Dodecanese Is. (Aegean Is.),Part of,Part of,Part of,Part of
Janina,Part of,Part of,Part of,Part of
Akrotiri and Dhekelia (British Bases in Cyprus),Part of,Part of,Part of,Dependency of
Castellorizo,Part of,Part of,Part of,Part of
Moldavia,Vassal of,?,?,?
Wallachia,Vassal of,?,?,?
Memel,Part of,Part of,Part of,Part of
North Ingria,Part of,Part of,Part of,Part of
Batum,Part of,Part of,Part of,Part of
Daghestan,Part of,Part of,Part of,Part of
Nakhichevan,Part of,Part of,Part of,Dependency of
Mountaineers' Republic of the North Caucasus,?,Sovereign (unrecognized),?,?
Porkkala,Part of,Part of,Claimed by,Part of
Aland Is.,Part of,Part of,Dependency of,Dependency of
Hangö,Part of,Part of,Part of,Part of
Elba,Part of,Part of,Part of,Part of
Svalbard Is.,Discovered,Discovered,Dependency of,Dependency of
Jan Mayen Is.,Discovered,Discovered,Dependency of,Dependency of
Independent State of Croatia,?,Sovereign (unrecognized),?,?
"State of Slovenes, Croats and Serbs",?,Dissolved into,?,?
Serb Republic of Krajina,?,?,Sovereign (unrecognized),?
Serb Republic of Bosnia,?,?,Part of,Part of
Vojvodina,Part of,Part of,Part of,Part of
Bosnia,Part of,?,?,?
Herzegovina,Part of,?,?,?
Novi Pazar,Part of,Occupied by,Part of,Part of
Brda,Part of,Part of,Part of,Part of
Western Thrace,Part of,Part of,Part of,Part of
Mount Athos,Part of,Part of,Dependency of,Dependency of
New Greece,Part of,Part of,Part of,Part of
Samos,Part of,Vassal of,Part of,Part of
Lemnos,Part of,Part of,Part of,Part of
UN Buffer Zone in Cyprus,Part of,Part of,Part of,Neutral or demilitarized zone of
Eastern Rumelia,Vassal of,Part of,?,?
Transdniestria (Pridnestrovian Moldavian Republic),?,Part of,Part of,Sovereign (unrecognized)
Gagauzia,Part of,Part of,Part of,Dependency of
Danube Islands Neutral Zone,Neutral or demilitarized zone of,?,?,?
Adygea,?,Part of,Part of,Dependency of
Altai Republic,Part of,Part of,Part of,Dependency of
Bashkir Republic,Part of,Part of,Part of,Dependency of
Buryatia,Colony of,Colony of,Part of,Dependency of
Karelia Republic,Part of,Part of,Part of,Dependency of
Kresy,Part of,Part of,Part of,Part of
Western Ukraine,Part of,Part of,Part of,Part of
Northeren Russia,Part of,Part of,Part of,Part of
Republic of the Don,Part of,Part of,Part of,Part of
Odessa,Part of,Part of,Part of,Part of
Crimea,Part of,Part of,Part of,Dependency of
Novorossiya,Part of,Part of,Part of,Dependency of
Donetsk,Part of,Part of,Part of,Sovereign (unrecognized)
Luhansk,Part of,Part of,Part of,Sovereign (unrecognized)
Artsakh (Republic of Karabakh),Part of,Part of,Part of,Sovereign (unrecognized)
Abkhazia,Part of,Part of,Part of,Sovereign (unrecognized)
South Ossetia,Part of,Part of,Part of,Sovereign (unrecognized)
Adjara,Part of,Part of,Part of,Dependency of
Chechen Republic,Part of,Part of,Part of,Part of
"Ingushetia, Republic of",Colony of,Colony of,Part of,Part of
Sweden-Norway Neutral Zone,Part of,Part of,Neutral or demilitarized zone of,Neutral or demilitarized zone of
Bornholm I.,Part of,Part of,Part of,Part of
Principe,Part of,Part of,Part of,Dependency of
Cacheu,Possession of,Part of,Part of,Part of
Bissau,Possession of,Part of,Part of,Part of
Oio,Unknown,Unknown,Part of,Part of
British Guinea (Bolama),Colony of,Part of,Part of,Part of
St. Helena,Colony of,Colony of,Colony of,Colony of
Longwood,Part of,Possession of,Possession of,Possession of
Tristan da Cunha,Possession of,Possession of,Part of,Part of
Ascension I.,Possession of,Possession of,Part of,Part of
Annobon I.,Possession of,Part of,Part of,Part of
Corisco I.,Possession of,Part of,Part of,Part of
Elobey Is.,Unknown,Part of,Part of,Part of
"Elobey, Annóbon and Corisco",Protectorate of,Protectorate of,?,?
Tokolor Empire,Sovereign (unrecognized),Sovereign (unrecognized),?,?
Timbuctu,Vassal of,Unknown,Part of,Part of
Bambuk,Unknown,Unknown,Part of,Part of
Dinguiray,Unknown,Part of,Part of,Part of
Kaarta,Sovereign (unrecognized),Part of,Part of,Part of
Macina,Part of,Part of,Part of,Part of
Segu,Sovereign (unrecognized),Part of,Part of,Part of
Sikasso,Sovereign (unrecognized),Sovereign (unrecognized),Part of,Part of
Futa Toro,Sovereign (unrecognized),Occupied by,Part of,Part of
Futa Bondu,Sovereign (unrecognized),Occupied by,Part of,Part of
Cayor,Sovereign (unrecognized),Protectorate of,Part of,Part of
Rip,Sovereign (unrecognized),Unknown,Part of,Part of
Saloum,Sovereign (unrecognized),Sovereign (unrecognized),Part of,Part of
Sine,Sovereign (unrecognized),Occupied by,Part of,Part of
Walo,Sovereign (unrecognized),Occupied by,Part of,?
Goree,Part of,Part of,Part of,Part of
Old Dahomey,Sovereign (unrecognized),Sovereign (unrecognized),Part of,Part of
Gun,Unknown,Occupied by,Part of,Part of
Ketu,Sovereign (unrecognized),Sovereign (unrecognized),Part of,Part of
Grand Popo,Unknown,Possession of,Part of,Part of
Ouidah,Unknown,Possession of,Part of,Part of
Anecho (Little Popo),Unknown,Part of,Part of,Part of
Cotonou,Discovered,Possession of,Part of,Part of
Porto Novo,Sovereign (unrecognized),Part of,Part of,Part of
Ajuda,Possession of,Possession of,Possession of,Part of
Adrar,Unknown,Unknown,Part of,Part of
Brakna,Sovereign (unrecognized),Sovereign (unrecognized),Part of,Part of
Tagant,Unknown,Unknown,Part of,Part of
Trarza,Sovereign (unrecognized),Sovereign (unrecognized),Part of,Part of
Aïr,Sovereign (unrecognized),Sovereign (unrecognized),Part of,Part of
Zinder,Vassal of,Vassal of,Part of,Part of
Odienne,Unknown,Part of,Part of,Part of
Grand-Bassam,Discovered,Part of,Part of,Part of
Assinie,Discovered,Part of,Part of,Part of
Futa Djallon,Sovereign (unrecognized),Sovereign (unrecognized),?,?
Kankan,Sovereign (unrecognized),Occupied by,Part of,?
Loos Is.,Unknown,Colony of,Part of,Part of
Gurma,Sovereign (unrecognized),Sovereign (unrecognized),Part of,?
Kong,Sovereign (unrecognized),Sovereign (unrecognized),Part of,?
Mandinka (Wassoulou) Empire,Unknown,Sovereign (unrecognized),?,?
Mamprussi,Sovereign (unrecognized),Sovereign (unrecognized),Part of,?
Ouagadougou (Mossi Empire),Sovereign (unrecognized),Sovereign (unrecognized),?,?
Yatenga,Sovereign (unrecognized),Sovereign (unrecognized),Part of,?
Busuma,Sovereign (unrecognized),Sovereign (unrecognized),Part of,?
Riziam,Unknown,Unknown,Part of,?
Maryland,Colony of,Part of,Part of,Part of
Aku,Unknown,Part of,Part of,Part of
Banana Islands,Discovered,Part of,Part of,Part of
Bumpe,Unknown,Unknown,Part of,Part of
Koya-Temne,Sovereign (unrecognized),Sovereign (unrecognized),Part of,Part of
Shenge (Plantation Island),Discovered,Discovered,Part of,Part of
Asante (Ashanti Empire),Sovereign (unrecognized),Sovereign (unrecognized),Sovereign (unrecognized),Part of
Adansi,Part of,Part of,Part of,Part of
Akwamu,Part of,Part of,Part of,Part of
Akwapim,Part of,Part of,Part of,Part of
Akyem,Part of,Part of,Part of,Part of
Dagomba,Part of,Sovereign (unrecognized),Part of,Part of
Denkyira,Vassal of,Part of,Part of,Part of
Fante,Part of,Part of,Part of,Part of
Ga,Vassal of,Part of,Part of,Part of
Gonja,Part of,Sovereign (unrecognized),Part of,Part of
Gyamen,Unknown,Unknown,Part of,Part of
Wassa,Vassal of,Part of,Part of,Part of
Danish Posts (Gold Coast),Possession of,Part of,Part of,Part of
Dutch Posts (Gold Coast),Possession of,Part of,Part of,Part of
Northern Territories (Gold Coast),?,Protectorate of,Part of,Part of
Gold Coast-Togoland (Neutral Zone),?,Neutral or demilitarized zone of,?,?
Bamum (Bamoun),Sovereign (unrecognized),Part of,Part of,Part of
Kontagora,Unknown,Part of,Part of,Part of
Keana,Unknown,Unknown,Part of,Part of
Fika,Sovereign (unrecognized),Sovereign (unrecognized),Part of,Part of
Doma (Gara),Unknown,Unknown,Part of,Part of
Abuja (Suleja),Sovereign (unrecognized),Sovereign (unrecognized),Part of,Part of
Igala,Sovereign (unrecognized),Sovereign (unrecognized),Part of,Part of
Wukari (Kwararafa),Vassal of,Sovereign (unrecognized),Part of,Part of
Yauri,Vassal of,Vassal of,Part of,Part of
Oyo Empire,Sovereign (unrecognized),?,?,?
Sokoto,Sovereign (unrecognized),Sovereign (unrecognized),Part of,Part of
Adamawa,Part of,Part of,Part of,Part of
Bauchi,Part of,Part of,Part of,Part of
Gwandu,Part of,Part of,Part of,Part of
Hadejia,Part of,Part of,Part of,Part of
Ilorin,Vassal of,Part of,Part of,Part of
Kano,Part of,Part of,Part of,Part of
Katsina,Part of,Part of,Part of,Part of
Katagum,Part of,Part of,Part of,Part of
Nupe,Unknown,Part of,Part of,Part of
Zaria,Part of,Part of,Part of,Part of
Bornu (Kanem),Sovereign (unrecognized),Sovereign (unrecognized),?,?
Mandara,Unknown,Unknown,?,?
Rabah,Part of,Part of,Part of,Part of
Egba,Unknown,Unknown,Part of,Part of
Ibadan,Sovereign (unrecognized),Sovereign (unrecognized),Part of,Part of
Ife,Unknown,Part of,?,?
Ijaiye,Unknown,Part of,?,?
Ijebu,Sovereign (unrecognized),Sovereign (unrecognized),Part of,Part of
Ilesha,Unknown,Part of,?,?
New Oyo,Part of,Part of,?,?
Benin (Edo),Sovereign (unrecognized),Sovereign (unrecognized),Part of,Part of
Lagos,Vassal of,Colony of,Part of,Part of
Oil Rivers Protectorate,Protectorate of,Protectorate of,?,?
Southern Nigeria (Niger Coast Protectorate),Protectorate of,Protectorate of,?,?
Northern Nigeria (British Nigeria),Possession of,Possession of,?,?
Biafra,?,?,Sovereign (unrecognized),?
Bonny,Sovereign (unrecognized),Part of,Part of,Part of
Old Calabar (Efik),Sovereign (unrecognized),Part of,Part of,Part of
New Calabar (Kalabari),Sovereign (unrecognized),Part of,Part of,Part of
Opobo,Sovereign (unrecognized),Part of,Part of,Part of
Nembe (Brass),Sovereign (unrecognized),Part of,?,?
Okrika,Unknown,Part of,?,?
Bangassou,Sovereign (unrecognized),Sovereign (unrecognized),Part of,Part of
Rafai,Sovereign (unrecognized),Sovereign (unrecognized),Part of,Part of
Zemio,Unknown,Unknown,Part of,Part of
Bagirmi,Sovereign (unrecognized),Sovereign (unrecognized),?,?
Wadai,Sovereign (unrecognized),Sovereign (unrecognized),Part of,Part of
Bateke (Anziku),Sovereign (unrecognized),Part of,Part of,Part of
Loango,Sovereign (unrecognized),Part of,Part of,Part of
Tippu Tip Empire,Sovereign (unrecognized),Sovereign (unrecognized),?,?
Lunda Kingdom (Mwata Yamvo),Sovereign (unrecognized),?,?,?
Kalagne,Unknown,Part of,Part of,Part of
Luba Kingdom,Sovereign (unrecognized),Sovereign (unrecognized),?,?
Katanga (State of Katanga) (Msiri's Yeke Kingdom),Part of,Sovereign (unrecognized),Part of,?
Kasai,Part of,Part of,Part of,Part of
Azande,Sovereign (unrecognized),Sovereign (unrecognized),Part of,Part of
Mangbetu,Unknown,Unknown,Part of,Part of
Kuba,Sovereign (unrecognized),Sovereign (unrecognized),Part of,Part of
Buganda,Sovereign (unrecognized),Sovereign (unrecognized),Part of,Part of
Ankole,Sovereign (unrecognized),Sovereign (unrecognized),Part of,?
Bunyoro,Sovereign (unrecognized),Sovereign (unrecognized),Part of,Part of
Busoga,Discovered,Discovered,Part of,Part of
Butoro,Unknown,Unknown,Part of,Part of
Rwenzururu,Unknown,Unknown,Part of,Part of
Kenya Protectorate,?,Protectorate of,Protectorate of,?
Mombassa,Sovereign (unrecognized),Part of,Part of,Part of
Pate,Unknown,Part of,Part of,Part of
Vumbu Kuu,Unknown,?,?,?
Wanga (Wanga Kingdom),Sovereign (unrecognized),Sovereign (unrecognized),Part of,Part of
Ha,Unknown,Unknown,Part of,Part of
Haya,Sovereign (unrecognized),Sovereign (unrecognized),Part of,Part of
Hehe,Unknown,Unknown,Part of,Part of
Karagwe,Sovereign (unrecognized),Sovereign (unrecognized),Part of,Part of
Urambo,Unknown,Unknown,Part of,Part of
Gwangara,Part of,Part of,?,?
North Gwangara,?,Part of,Part of,Part of
South Gwangara,?,Part of,Part of,Part of
Mafia I.,Part of,Part of,Part of,Part of
Italian Somaliland,?,Protectorate of,Occupied by,Part of
Italian East Africa,?,Colony of,?,?
Oltre Giuba,Part of,Part of,Part of,Part of
Alula (Majeerteen),Sovereign (unrecognized),Sovereign (unrecognized),?,?
Obbia,Sovereign (unrecognized),Sovereign (unrecognized),Part of,Part of
Somali Coast Territory,?,Leased to,?,?
Puntland,Part of,Part of,Part of,Dependency of
Mogadishu,Part of,Part of,Part of,Part of
Merca,Part of,Part of,Part of,Part of
Barawa,Occupied by,Part of,Part of,Part of
Warsheikh,Part of,Part of,Part of,Part of
Geledi,Sovereign (unrecognized),Sovereign (unrecognized),?,?
Tadjoura,Part of,Part of,Part of,Part of
Obock,Part of,Part of,Part of,Part of
Amhara,Part of,Part of,Part of,Part of
Gondar,Part of,Part of,Part of,Part of
Shewa,Sovereign (unrecognized),Part of,Part of,Part of
Tigray,Part of,Part of,Part of,Part of
Gojjam,Part of,Part of,Part of,Part of
Harar,Vassal of,Part of,?,?
"Jijega, Reserve Areas and Haud",Vassal of,Vassal of,Occupied by,Part of
Kaffa,Sovereign (unrecognized),Sovereign (unrecognized),Part of,Part of
Limmu-Ennarea,Sovereign (unrecognized),Sovereign (unrecognized),Part of,Part of
Jimma-Kakka (Jimma Abba Jifar),Sovereign (unrecognized),Vassal of,Part of,Part of
Gera,Unknown,Sovereign (unrecognized),Part of,Part of
Gomma,Sovereign (unrecognized),Sovereign (unrecognized),Part of,Part of
Guma,Unknown,Part of,Part of,Part of
Assab,Unknown,Part of,?,?
Awsa Sultanate,Sovereign (unrecognized),Sovereign (unrecognized),Part of,Part of
Chokwe,Unknown,Unknown,Part of,Part of
Ovimbundu,Unknown,Unknown,Part of,Part of
Cabinda (Portuguese Congo),Occupied by,Protectorate of,Protectorate of,Part of
Kionga,Unknown,Possession of,Part of,Part of
Citimukulu Bemba,Sovereign (unrecognized),Sovereign (unrecognized),Part of,Part of
Mwamba Bemba,Sovereign (unrecognized),Sovereign (unrecognized),Part of,Part of
Barotseland (Lozi),Sovereign (unrecognized),Sovereign (unrecognized),Part of,Part of
Maseko Ngoni,Unknown,Unknown,Part of,Part of
Shangane (Gaza Empire),Sovereign (unrecognized),Sovereign (unrecognized),Part of,Part of
Kazembe,Sovereign (unrecognized),Sovereign (unrecognized),Part of,Part of
Northeastern Rhodesia,?,Protectorate of,?,?
Barotseland_North_Western Rhodesia (Northwestern Rhodesia),?,Possession of,?,?
Rozwi,Sovereign (unrecognized),?,?,?
Ndebele (Matabeleland),Sovereign (unrecognized),Sovereign (unrecognized),Part of,Part of
Mashona,Part of,Part of,Part of,Part of
Mbelwa Ngoni,Unknown,?,?,?
Mpezeni Ngoni,Part of,Unknown,Part of,Part of
Kamanga,Unknown,Part of,Part of,Part of
Zwangendaba Ngoni,Unknown,Part of,?,?
Ciwere (Chewa),Unknown,Part of,Part of,Part of
Zulu,Discovered,Discovered,Part of,Part of
Ndandwe,Part of,Part of,?,?
Mtetwa,Part of,Part of,?,?
Prince Edward and Marion Is.,Possession of,Possession of,Possession of,Possession of
"Griqualand, West",Sovereign (unrecognized),Part of,Part of,Part of
British Bechuanaland,Colony of,Colony of,Part of,Part of
Stellaland and Goshen,Part of,?,?,?
British Kaffraria,Discovered,Part of,?,?
Lydenburg Republic,Sovereign (unrecognized),Part of,Part of,Part of
Zoutpansberg,Sovereign (unrecognized),Part of,Part of,Part of
Zululand,Sovereign (unrecognized),Sovereign (unrecognized),?,?
New Republic,Sovereign (unrecognized),Sovereign (unrecognized),?,?
"Griqualand, East",Part of,Part of,?,?
Winburg Republic (Natalia Republic),Sovereign (unrecognized),?,?,?
Walvis Bay,Discovered,Part of,Part of,Part of
Bamangwato,Unknown,Unknown,Part of,Part of
Ambohimanga (Merina),Sovereign (unrecognized),Sovereign (unrecognized),?,?
Menabe,Sovereign (unrecognized),Part of,Part of,Part of
Antaimoro,Part of,Part of,Part of,Part of
Boina,Sovereign (unrecognized),?,?,?
Nossi Be,Discovered,Colony of,Part of,Part of
Diego Suarez,Discovered,Colony of,Part of,Part of
St. Marie de Madagascar,Occupied by,Possession of,Part of,Part of
Tromelin I.,Part of,Part of,Part of,Possession of
Bassas Da India I.,Discovered,Discovered,Possession of,Possession of
Europa I.,Discovered,Discovered,Possession of,Possession of
Juan de Nova I.,Discovered,Discovered,Possession of,Possession of
Glorioso I.,Discovered,Discovered,Possession of,Possession of
Fort Dauphin,Possession of,Part of,Part of,Part of
Grand Comoro,Sovereign (unrecognized),Sovereign (unrecognized),Part of,Part of
Mayotte,Sovereign (unrecognized),Part of,Part of,Claimed by
Anjouan,Sovereign (unrecognized),Sovereign (unrecognized),Part of,Part of
Moheli,Part of,Sovereign (unrecognized),Part of,Part of
Andruna,Unknown,Part of,?,?
Rodrigues I.,Possession of,Possession of,Possession of,Dependency of
Agalega Is.,Possession of,Possession of,Possession of,Possession of
Cargados Carajos Shoals,Colony of,Possession of,Possession of,Possession of
British Indian Ocean Territory (Chagos Archipelago),Part of,Part of,Part of,Dependency of
Amirante Is.,Part of,Part of,Part of,Part of
Oujda,Part of,Part of,Part of,Part of
Southern zone of Spanish Morocco,?,Part of,Part of,?
Republic of the Rif,?,Part of,?,?
Tetuan,Part of,Part of,Part of,Part of
Alhucemas,Part of,Part of,Part of,Dependency of
Ceuta,Colony of,Part of,Part of,Dependency of
Chafarinas,Part of,Part of,Part of,Dependency of
Melilla,Colony of,Part of,Part of,Dependency of
Penon de Velez,Part of,Part of,Part of,Dependency of
Morocco-Melilla Neutral Zone,Neutral or demilitarized zone of,Neutral or demilitarized zone of,Part of,?
Captaincy-general of north Africa,Part of,Colony of,Part of,Part of
Río de Oro,Colony of,Colony of,Colony of,?
Abdelkader Emirate,Part of,?,?,?
Kabylie,Part of,Part of,Part of,Part of
Leased Posts in Algeria,Leased to,?,?,?
Bizerte,Part of,Part of,Part of,Part of
Cyrenaica,Part of,Part of,Part of,Part of
Tripolitania (Regency of Tripoli),Vassal of,Part of,Part of,Part of
Fezzan,Part of,Part of,Part of,Part of
Darfur (Darfur Sultanate),Sovereign (unrecognized),Part of,Part of,Part of
Funj Sultanate,Sovereign (unrecognized),?,?,?
Kordofan,Part of,Part of,Part of,?
Shilluk,Sovereign (unrecognized),Part of,Part of,Part of
North Kordofan,?,?,Part of,Part of
