name,1816,1886,1950,2020
South Kordofan,?,?,Part of,Part of
West Kordofan,?,?,Part of,Part of
Mahabad,Part of,Part of,Part of,Part of
Iranian Azerbaijan,Part of,Part of,Part of,Part of
Gilan,Part of,Part of,Part of,Part of
Khuzestan,Part of,Part of,Part of,Part of
Bushire,Part of,Part of,Part of,Part of
Bandar Abbas,Leased to,Part of,Part of,Part of
Kharg I.,Part of,Part of,Part of,Part of
Cilicia,Part of,Part of,Part of,Part of
Western Anatolia,Part of,Part of,Part of,Part of
Hatay (Alexandretta),?,Part of,Part of,Part of
Adalia,Part of,Part of,Part of,Part of
Dardanelles-Istanbul,Part of,Part of,Part of,Part of
Iraq-Saudi Arabia Neutral Zone,?,Claimed by,Neutral or demilitarized zone of,?
Iraq Occupation Zone,?,Part of,Part of,Part of
Iraq-Kuwait Demilitarized Zone,?,Part of,Part of,Neutral or demilitarized zone of
Kurdistan Occupation Zone,?,Part of,Part of,Dependency of
Gaza,Part of,Part of,Occupied by,?
Sinai,Part of,Part of,Part of,Part of
Sinai Demilitarized Zones,?,?,Occupied by,Part of
Suez Canal Zone,Part of,Part of,Occupied by,Part of
Golan Heights,Part of,Part of,Part of,Occupied by
Golan Heights Demilitarized Zone,?,?,Occupied by,Neutral or demilitarized zone of
Rouad I.,Part of,Part of,Part of,Part of
Damascus,Part of,Part of,Part of,Part of
Aleppo,Part of,Part of,Part of,Part of
Latakia (Alaouites),Part of,Part of,Part of,Part of
Jebel Druze,?,Mandated to,Part of,Part of
South Lebanon Security Zone (Free State of South Lebanon),?,Part of,Part of,Part of
West Bank,?,Part of,Occupied by,Occupied by
Israel-Jordan Neutral Zone,?,Part of,Neutral or demilitarized zone of,Part of
Al Auja,?,Part of,Neutral or demilitarized zone of,Part of
Socotra I.,Possession of,Possession of,Possession of,Possession of
Federation of South Arabia,?,?,Protectorate of,?
Perim I.,Discovered,Possession of,Part of,?
Federation of Arab Emirates of the South,?,?,Protectorate of,?
West Aden Protectorate,?,Protectorate of,Protectorate of,?
East Aden Protectorate,?,Protectorate of,Protectorate of,?
Lahej,Sovereign (unrecognized),Part of,Part of,?
Aqrabi,Sovereign (unrecognized),Sovereign (unrecognized),Part of,?
Dhala,Sovereign (unrecognized),Sovereign (unrecognized),Part of,?
Radfan,Unknown,Unknown,Part of,?
Alawi,Protectorate of,Part of,Part of,?
Haushabi,Sovereign (unrecognized),Sovereign (unrecognized),Part of,?
Maflahi,Part of,Part of,Part of,?
Shaibi,Sovereign (unrecognized),Part of,Part of,?
Upper Yafai,Unknown,Unknown,Part of,?
Lower Yafai,Unknown,Unknown,Part of,?
Fadhli,Sovereign (unrecognized),Sovereign (unrecognized),Part of,?
Beihan,Sovereign (unrecognized),Part of,Part of,?
Audhali,Unknown,Unknown,Part of,?
Upper Aulaqi (Sultanate),Unknown,Unknown,Part of,?
Upper Aulaqi (Sheikhdom),Unknown,Unknown,Part of,?
Lower Aulaqi,Unknown,Unknown,Part of,?
Dathina Confederation,Unknown,Part of,Part of,?
Wahidi,Unknown,Part of,Part of,?
Haura,Unknown,Unknown,Part of,?
Irqa,Unknown,Unknown,Part of,?
Kathiri of Seiyun,Sovereign (unrecognized),Sovereign (unrecognized),Part of,?
Quaiti of Shihr and Mukalla,Sovereign (unrecognized),Sovereign (unrecognized),Part of,?
Mahri of Qishn and Socotra,Sovereign (unrecognized),Sovereign (unrecognized),Part of,?
Neutral Zone (Kuwait-Saudi Arabia),?,Claimed by,Neutral or demilitarized zone of,Part of
Buraimi Neutral Zone,Part of,Part of,Claimed by,Part of
Abu Dhabi,Unknown,Part of,Part of,Part of
Dubai,Part of,Part of,Part of,Part of
Sharjah,Part of,Part of,Part of,Part of
Kalba,Part of,Part of,Part of,Part of
Ajman,Part of,Part of,Part of,Part of
Umm al Qawain,Part of,Part of,Part of,Part of
Ras al Khaimah,Part of,Part of,Part of,Part of
Fujairah,Part of,Protectorate of,Protectorate of,Part of
Abu Dhabi-Dubai Neutral Zone,?,?,Neutral or demilitarized zone of,Part of
Abu Musa I.,Part of,Part of,Part of,Part of
Inner Oman,Part of,Part of,Part of,Part of
Kuria Muria Is.,Part of,Possession of,Possession of,Part of
Oman-Sharjah Neutral Zone,Part of,Part of,Part of,Neutral or demilitarized zone of
Kabul,Part of,Part of,Part of,Part of
Kandahar,Part of,Part of,Part of,Part of
Herat,Part of,Part of,Part of,Part of
Badakhshan,Part of,Part of,Part of,Part of
Kokand,Sovereign (unrecognized),Part of,Part of,Part of
Bokhara,Sovereign (unrecognized),Protectorate of,Part of,Part of
Gorno Badakhshan,?,Claimed by,Part of,Dependency of
Khiva,Sovereign (unrecognized),Protectorate of,Part of,Part of
Karakalpakstan,Part of,Part of,Part of,Dependency of
Kazakh Lesser Horde,Protectorate of,Part of,Part of,Part of
Kazakh Middle Horde,Protectorate of,Part of,Part of,Part of
Kazakh Horde of Bukey,Unknown,Part of,Part of,Part of
Kazakh Greater Horde,Protectorate of,Part of,Part of,Part of
Spratley Is.,Discovered,Discovered,Occupied by,Occupied by
Ping-nan,Part of,Part of,Part of,Part of
Jungaria,Part of,Part of,Part of,Part of
Kashgar,Part of,Part of,Part of,Part of
Kwangtung Territory,Part of,Part of,Occupied by,Part of
Weihaiwei,Part of,Part of,Part of,Part of
Tientsin (Tianjin),Part of,Leased to,Part of,Part of
Anhwei-Fukien,Part of,Part of,?,?
Yangtze Valley,Part of,Part of,Part of,Part of
Yunnan,Part of,Part of,Part of,Part of
Kwanchowan,Part of,Part of,Part of,Part of
Manchuria,Part of,Part of,Part of,Part of
Szechwan (Sichuan),Part of,Part of,Part of,Part of
Chinghai (Tsinghai),Part of,Part of,Part of,Part of
Xinjiang (Sinkiang),Part of,Part of,Part of,Dependency of
Provisional Government of the Republic of China,?,Occupied by,?,?
Reformed Government of China,?,Occupied by,?,?
Reorganized National Government of the Republic of China,?,Occupied by,?,?
Ningxia,Part of,Part of,Part of,Dependency of
Inner Mongolia,Part of,Part of,Dependency of,Dependency of
Kiauchau,Part of,Part of,Part of,Part of
Shangai,Part of,Leased to,Part of,Part of
Beijing,Part of,Leased to,Part of,Part of
Gulangyu (Kulangsu),Part of,Part of,Part of,Part of
Guangzhou (Canton),Part of,Leased to,Part of,Part of
Hankou,Part of,Leased to,Part of,?
Kunming,Part of,Part of,Part of,Part of
Xiamen (Amoy),Part of,Leased to,Part of,Part of
Chongqing,Part of,Part of,Part of,Part of
Suzhou,Part of,Part of,Part of,Part of
Hangzhou,Part of,Part of,Part of,Part of
"Shashi, Jingzhou",Part of,Part of,Part of,Part of
Dalian,Part of,Part of,Occupied by,Part of
Harbin,Part of,Part of,Leased to,Part of
Lüshun Port (Port Arthur),Part of,Part of,Occupied by,Part of
Liugong I.,Part of,Part of,Part of,Part of
Jiujiang,Part of,Leased to,Part of,Part of
Zhenjiang,Part of,Leased to,Part of,Part of
Diaoyu (Senkaku) Is.,Discovered,Discovered,Occupied by,Possession of
Port Hamilton (Komundo),Part of,Occupied by,?,?
Kaesong,Part of,Part of,Part of,Dependency of
Sinuiju,Part of,Part of,Part of,Dependency of
Kumgangsan,Part of,Part of,Part of,Dependency of
Korean Demilitarized Zone,?,Part of,Part of,Neutral or demilitarized zone of
Southern Sakhalin I.,Discovered,Part of,Part of,Part of
Vladivostok,Part of,Part of,Part of,Part of
Tuvan People's Republic,Part of,Part of,Part of,Part of
Takeshima (Dokdo) I.,?,Part of,Part of,Occupied by
Bonin Is.,Discovered,Part of,Occupied by,Part of
Volcano Is.,Discovered,Discovered,Occupied by,Part of
Marcus I.,Discovered,Discovered,Occupied by,Part of
Parece Vela I.,Discovered,Discovered,Occupied by,Part of
Tsushima Is.,Part of,Part of,Part of,Part of
Andaman and Nicobar Is.,Part of,Part of,Occupied by,Part of
Andaman Is.,Colony of,Part of,Part of,Part of
Nicobar Is.,Part of,Part of,Part of,Part of
Coromandel Coast Posts,Occupied by,Part of,Part of,Part of
Tranquebar and Serampore,Colony of,Part of,Part of,Part of
Hyderabad,Vassal of,Vassal of,Part of,Part of
Malabar Coast,Part of,Part of,Part of,Part of
Kashmir,Part of,Vassal of,Part of,Part of
Bikaner,Vassal of,Vassal of,Part of,Part of
Jaipur,Sovereign (unrecognized),Vassal of,Part of,Part of
Udaipur,Part of,Vassal of,Part of,Part of
Kishangarh,Sovereign (unrecognized),Vassal of,Part of,Part of
Lawa,Part of,Vassal of,Part of,Part of
Jodhpur,Sovereign (unrecognized),Vassal of,Part of,Part of
Jaisalmer,Sovereign (unrecognized),Vassal of,Part of,Part of
Dholpur,Part of,Part of,Part of,Part of
Karauli,Part of,Vassal of,Part of,Part of
Kotah,Sovereign (unrecognized),Vassal of,Part of,Part of
Banswara,Sovereign (unrecognized),Vassal of,Part of,Part of
Dungarpur,Sovereign (unrecognized),Vassal of,Part of,Part of
Dartabgarh,Part of,Part of,Part of,Part of
Kushalgar,Unknown,Part of,Part of,Part of
Bundi,Vassal of,Vassal of,Part of,Part of
Tonk,Part of,Vassal of,Part of,Part of
Pratapgarh,Unknown,Vassal of,Part of,Part of
Shahpura,Unknown,Vassal of,Part of,Part of
Kathiawar,Vassal of,Vassal of,Part of,Part of
Holkar (Indore),Part of,Vassal of,Vassal of,Part of
Bhopal,Part of,Vassal of,Part of,Part of
Dhar,Part of,Vassal of,Part of,Part of
Dewas,Part of,Vassal of,Part of,Part of
Taraon,Part of,Part of,Part of,Part of
Samptar (Datia),Vassal of,Vassal of,Unknown,Part of
Rewa,Vassal of,Vassal of,Part of,Part of
Sawantwadi,Vassal of,Vassal of,Part of,Part of
Bilaspur,Vassal of,Vassal of,Part of,Part of
Loharu,Vassal of,Vassal of,Part of,Part of
Malerkotla,Vassal of,Vassal of,Part of,Part of
Sirmur,Vassal of,Vassal of,Part of,Part of
Suket,Vassal of,Vassal of,Part of,Part of
Garwahl,Vassal of,Vassal of,Part of,Part of
Bagelkhand,Vassal of,Vassal of,?,?
Bundelkhand,Vassal of,Vassal of,Part of,Part of
Malwa,Part of,Part of,Part of,Part of
Khairpur,Sovereign (unrecognized),Vassal of,Part of,Part of
Idar,Vassal of,Vassal of,Part of,Part of
Saugor,Part of,Part of,Part of,Part of
Damoh,Part of,Part of,Part of,Part of
Berar,Part of,Part of,Part of,Part of
Khandesh,Part of,Part of,Part of,Part of
Nasik,Part of,Part of,Part of,Part of
Ahmadnagar,Part of,Part of,Part of,Part of
Poona,Part of,Part of,Part of,Part of
Sholapur,Part of,Part of,Part of,Part of
Ratnagiri,Part of,Part of,Part of,Part of
Bijapur,Part of,Part of,Part of,Part of
Travancore,Part of,Part of,Part of,Part of
Junagadh,Vassal of,Vassal of,Part of,Part of
Sirohi,Sovereign (unrecognized),Part of,Part of,Part of
Assam,Sovereign (unrecognized),Part of,Part of,Part of
Kapurthala,Vassal of,Vassal of,Part of,Part of
Chota Nagpur,Vassal of,Vassal of,Part of,Part of
Kodagu (Coorg),Vassal of,Part of,Part of,Part of
Karnal,Part of,Part of,Part of,Part of
Sambalpur,Part of,Vassal of,Part of,Part of
Satara,Unknown,Part of,Part of,Part of
Gwalior (Sindhia),Vassal of,Vassal of,Part of,Part of
Jhansi,Vassal of,Part of,Part of,Part of
Rampur,Vassal of,Vassal of,Part of,Part of
Jubbulpore,Part of,Part of,Part of,Part of
Balaghat,Part of,Part of,Part of,Part of
Nagpur,Part of,Part of,Part of,Part of
Oudh,Vassal of,Part of,?,?
Manipur,Occupied by,Vassal of,Part of,Part of
Baluchistan (Kalat),Sovereign (unrecognized),Vassal of,Vassal of,Part of
Maratha Empire,Sovereign (unrecognized),?,?,?
Goa,Part of,Part of,Part of,Part of
Diu,Part of,Part of,Part of,Part of
Daman,Part of,Part of,Part of,Part of
Dadra,Part of,Part of,Part of,Part of
Nagar Haveli,Part of,Part of,Part of,Part of
Lahore (Sikh Empire),Sovereign (unrecognized),Part of,Part of,Part of
Peshawar,Part of,Part of,Part of,Part of
Sindh,Sovereign (unrecognized),Part of,Part of,Part of
Bahawalpur,Sovereign (unrecognized),Vassal of,Vassal of,Part of
Swat,Vassal of,Vassal of,Vassal of,?
Hunza,Sovereign (unrecognized),Vassal of,Vassal of,?
Nagar,Sovereign (unrecognized),Sovereign (unrecognized),Vassal of,?
Chitral,Sovereign (unrecognized),Sovereign (unrecognized),Vassal of,?
Dir,Unknown,Unknown,Vassal of,?
Amb,Sovereign (unrecognized),Vassal of,Vassal of,?
Gwadar,Possession of,Possession of,Possession of,Part of
Azad Kashmir,Part of,Part of,Protectorate of,Protectorate of
Gilgit Baltistan (Northern Areas),Sovereign (unrecognized),Part of,Protectorate of,Protectorate of
Tin Bigha,?,Part of,Part of,Leased to
Bawlake,Part of,Part of,Part of,Part of
Kyebogyi,Part of,Part of,Part of,Part of
Naungpale,Part of,Part of,Part of,Part of
Nammekon,Part of,Part of,Part of,Part of
Hsenwi,Vassal of,Vassal of,?,?
Hsipaw,Vassal of,Vassal of,Part of,Part of
Tawngpeng,Vassal of,Vassal of,Part of,Part of
North Hsenwi,?,Protectorate of,Part of,Part of
South Hsenwi,?,Protectorate of,Part of,Part of
Mang Lon,Vassal of,Vassal of,Part of,Part of
Hsamonghkam,Vassal of,Vassal of,Part of,Part of
Kyawkku,Vassal of,Vassal of,?,?
Kyong,Vassal of,Protectorate of,Part of,Part of
Loi Ai,Part of,Part of,?,?
Loi Long,Vassal of,Vassal of,Part of,Part of
Loi Maw,Part of,Part of,Part of,Part of
Maw,Vassal of,Vassal of,?,?
Mawnang,Part of,Part of,Part of,Part of
Mawson,Part of,Part of,Part of,Part of
Namhkam,Part of,Part of,Part of,Part of
Namtok,Vassal of,Vassal of,Part of,Part of
Pangmi,Vassal of,Vassal of,Part of,Part of
Pangtara,Vassal of,Vassal of,Part of,Part of
Pwehla,Vassal of,Vassal of,Part of,Part of
Yengan,Vassal of,Vassal of,Part of,Part of
Yawnghwe,Vassal of,Vassal of,Part of,Part of
Lawksawk,Vassal of,Protectorate of,Part of,Part of
Wanyin,Vassal of,Vassal of,Part of,Part of
Samka,Vassal of,Vassal of,Part of,Part of
Hsahtung,Vassal of,Vassal of,Part of,Part of
Hopong,Vassal of,Vassal of,Part of,Part of
Namhkok,Vassal of,Vassal of,Part of,Part of
Mong Pai,Vassal of,Vassal of,Part of,Part of
Nawng Wawn,Vassal of,Vassal of,Part of,Part of
Sa-koi,Vassal of,Vassal of,Part of,Part of
Lai Hka,Part of,Part of,Part of,Part of
Mong Kung,Vassal of,Vassal of,Part of,Part of
Mong Nai,Vassal of,Vassal of,Part of,Part of
Mawkmai,Vassal of,Vassal of,Part of,Part of
Mong Pawn,Vassal of,Vassal of,Part of,Part of
Mong Sit,Vassal of,Vassal of,Part of,Part of
Mong Pan,Vassal of,Vassal of,Part of,Part of
Kenghkam,Vassal of,?,?,?
Mong Nawng,Part of,Vassal of,Part of,Part of
Kehsi Mansam,Part of,Vassal of,Part of,Part of
Keng Lon,Part of,Vassal of,?,?
Mong Hsu,Vassal of,Vassal of,Part of,Part of
Keng Tung,Vassal of,Vassal of,Part of,Part of
Hsawnghsup,Vassal of,Vassal of,Part of,Part of
Singkaling Hkamti,Vassal of,Vassal of,Part of,Part of
Mong Mit,Vassal of,Vassal of,Part of,Part of
Hkamti Long,Vassal of,Vassal of,Part of,Part of
Western Karenni,Unknown,Protectorate of,Part of,Part of
Kantarawadi (Eastern Karenni),Unknown,Protectorate of,Part of,Part of
Jaffna Peninsula,?,Part of,Part of,?
Tibet,Part of,Part of,Sovereign (unrecognized),Dependency of
Chiang Mai (Lan-na),Part of,Part of,Part of,Part of
Patani,Vassal of,Vassal of,?,?
Vientiane,Part of,Part of,Part of,Part of
Luang Prabang (Lan Sang),Part of,Part of,Part of,Part of
Xiangkhouang,Part of,Part of,Part of,Part of
Champasak,Vassal of,Vassal of,?,?
Cochin China,Part of,Colony of,Part of,?
Annam,Part of,Protectorate of,Part of,?
Tonkin,Part of,Protectorate of,Part of,?
Paracel Is.,Claimed by,Claimed by,Claimed by,Occupied by
Perak,Sovereign (unrecognized),Colony of,Part of,Part of
Selangore,Sovereign (unrecognized),Colony of,Part of,Part of
Pahang,Sovereign (unrecognized),Sovereign (unrecognized),Part of,Part of
Negeri Sembilan,Vassal of,Colony of,Part of,Part of
Seremban (Songei Ujong),Part of,Part of,Part of,Part of
Rembau,Unknown,Unknown,Part of,Part of
Seri Menanti,Unknown,Part of,Part of,Part of
Ulu Muar,Part of,Part of,Part of,Part of
Jempol,Unknown,Part of,Part of,Part of
Johol,Unknown,Part of,Part of,Part of
Tampin,Part of,Unknown,Part of,Part of
Manjung (Dindings),Part of,Colony of,Part of,Part of
Johore,Sovereign (unrecognized),Sovereign (unrecognized),Part of,Part of
Kedah,Part of,Part of,Part of,Part of
Kelantan,Claimed by,Claimed by,Part of,Part of
Perlis,Part of,Sovereign (unrecognized),Part of,Part of
Trengganu,Part of,Part of,Part of,Part of
Labuan I.,Part of,Colony of,Part of,Part of
Malacca,Occupied by,Part of,Part of,Part of
Penang,Possession of,Part of,Part of,Part of
Sulu Sultanate,Sovereign (unrecognized),Protectorate of,Part of,Part of
Bohol,Discovered,Part of,Part of,Part of
Mindanao,Part of,Part of,Part of,Dependency of
Bali,Sovereign (unrecognized),Sovereign (unrecognized),Part of,Part of
Buleleng,Sovereign (unrecognized),Part of,Part of,Part of
Jembrana,Sovereign (unrecognized),Part of,Part of,Part of
Lombok,Sovereign (unrecognized),Sovereign (unrecognized),Part of,Part of
Banjarmasin,Protectorate of,?,?,?
Kutai,Sovereign (unrecognized),Part of,Part of,Part of
Lanfang,Vassal of,?,?,?
Bulungan,Vassal of,Vassal of,Part of,?
Pontianak,Part of,Part of,Dissolved into,?
Sambas,Sovereign (unrecognized),Part of,Part of,?
Belitung (Billiton),Possession of,Part of,Part of,Part of
Aceh,Sovereign (unrecognized),Sovereign (unrecognized),?,?
Riau,Occupied by,Part of,Part of,Part of
Siak Sri Indrapura,Sovereign (unrecognized),Sovereign (unrecognized),Part of,Part of
Minangkabau (Pagaruyung),Occupied by,?,?,?
Mandailing,Unknown,?,?,?
Jambi,Sovereign (unrecognized),Sovereign (unrecognized),?,?
Palembang,Sovereign (unrecognized),?,?,?
Tapanuli (Angkola),Unknown,Part of,Part of,Part of
Lampung,Part of,Part of,Part of,Part of
Bengkulu (Bencoolen),Part of,Part of,Part of,Part of
Deli,Vassal of,Part of,?,?
Yogyakarta,Sovereign (unrecognized),Protectorate of,Part of,Part of
Surakarta,Sovereign (unrecognized),Sovereign (unrecognized),Part of,Part of
Ternate,Occupied by,Vassal of,Part of,Part of
South Maluku,?,?,Sovereign (unrecognized),?
Toraja,Discovered,Discovered,Part of,Part of
Bone,Sovereign (unrecognized),Sovereign (unrecognized),Part of,Part of
Gowa,Sovereign (unrecognized),Sovereign (unrecognized),Part of,Part of
Luwu,Sovereign (unrecognized),Part of,Part of,Part of
Buton,Sovereign (unrecognized),Sovereign (unrecognized),Sovereign (unrecognized),?
Christmas I.,Discovered,Discovered,Part of,Dependency of
Cocos (Keeling) Is.,Unknown,Part of,Part of,Dependency of
Coral Sea Is.,Discovered,Discovered,Part of,Dependency of
Norfolk I.,Colony of,Colony of,Colony of,Dependency of
Heard and McDonald Is.,Possession of,Possession of,Dependency of,Dependency of
Macquarie I.,Possession of,Possession of,Possession of,Possession of
Lord Howe I.,Possession of,Possession of,Possession of,Possession of
Ashmore and Cartier Is,Discovered,Possession of,Possession of,Dependency of
Torres Strait Is.,Discovered,Part of,Part of,Part of
Bougainville (Republic of the North Solomons),Discovered,Discovered,Part of,Part of
Tokelau Is.,Discovered,Protectorate of,Colony of,Colony of
Kermadec Is.,Discovered,Possession of,Possession of,Possession of
Chatham Is.,Claimed by,Possession of,Possession of,Possession of
Bounty Is.,Discovered,Discovered,Possession of,Possession of
Auckland Is.,Claimed by,Possession of,Possession of,Possession of
Campbell I.,Possession of,Possession of,Possession of,Possession of
Rarotonga,Part of,Part of,Part of,Part of
Northern Cook Is.,Discovered,Discovered,Possession of,Possession of
Niue I.,Sovereign (unrecognized),Sovereign (unrecognized),Colony of,Associated state of
Chesterfield Is.,Discovered,Part of,Part of,Part of
Wallis and Futuna Is.,?,Protectorate of,Protectorate of,Dependency of
Uvea,Sovereign (unrecognized),Sovereign (unrecognized),Part of,Part of
Tua (Singave),Discovered,Discovered,Part of,Part of
Alo (Futuna),Sovereign (unrecognized),Sovereign (unrecognized),Part of,Part of
Vemarana (Espiritu Santo),Discovered,Discovered,Part of,Part of
German Solomon Is.,Discovered,Part of,?,?
Banaba I. (Ocean I.),Discovered,Discovered,Part of,Part of
Christmas Is.,Discovered,Possession of,Part of,Part of
Fanning I.,Discovered,Discovered,Part of,Part of
Teraina (Washington I.),Discovered,Claimed by,Part of,Part of
Canton and Enderbury Is.,?,Possession of,Possession of,?
Malden I.,Discovered,Claimed by,Claimed by,Part of
Starbuck I.,Discovered,Claimed by,Claimed by,Part of
Vostok I.,Discovered,Claimed by,Claimed by,Part of
Flint I.,Discovered,Claimed by,Claimed by,Part of
Caroline I.,Discovered,Claimed by,Claimed by,Part of
Phoenix Is.,Discovered,Discovered,Dependency of,Part of
Rotuma I.,Discovered,Part of,Part of,Part of
Vava'u,Sovereign (unrecognized),Part of,Part of,Part of
Tongatapu,Sovereign (unrecognized),Part of,Part of,Part of
Ha'apai,Discovered,Part of,Part of,Part of
Society Is.,Protectorate of,Colony of,Part of,Part of
Marquesas Is.,Discovered,Colony of,Part of,Part of
Tuamotu Is.,Discovered,Colony of,Part of,Part of
Gambier Is.,Sovereign (unrecognized),Protectorate of,Part of,Part of
Tubuai Is. (Austral Is.),Discovered,Colony of,Part of,Part of
Tahiti,Sovereign (unrecognized),Part of,Part of,Part of
Clipperton I.,Discovered,Occupied by,Possession of,Dependency of
Pitcairn Is.,Discovered,Colony of,Colony of,Colony of
Ducie I.,Claimed by,Claimed by,Part of,Part of
Wake I.,Discovered,Discovered,Dependency of,Dependency of
Midway Is.,Dependency of,Dependency of,Dependency of,Dependency of
Palmyra Is.,Discovered,Part of,Part of,Dependency of
Johnston I.,Discovered,Claimed by,Dependency of,Dependency of
Kingman Reef,Discovered,Claimed by,Dependency of,Dependency of
Howland I.,Discovered,Claimed by,Dependency of,Dependency of
Baker I.,Discovered,Claimed by,Dependency of,Dependency of
Jarvis I.,Discovered,Claimed by,Dependency of,Dependency of
Caroline Is.,Part of,Colony of,?,?
Mariana Is.,Part of,Colony of,?,?
Bismarck Archipelago (New Britain) (Neupommern),Discovered,Part of,Part of,Part of
Samoa,Sovereign (unrecognized),Sovereign (unrecognized),?,?
Australian Antarctic Territory,Claimed by,Claimed by,Claimed by,Dependency of
French and Southern Antarctic Territories (F.S.A.T.),?,?,Dependency of,Dependency of
Adelie Land,Claimed by,Claimed by,Claimed by,Part of
St. Paul and New Amsterdam Is.,Discovered,Possession of,Possession of,Part of
Kerguelen Is.,Discovered,Discovered,Possession of,Part of
Crozet Is.,Possession of,Possession of,Possession of,Part of
British Antarctic Territory,?,?,Possession of,Dependency of
Palmer Antarctic Territory,?,Claimed by,Claimed by,Part of
South Orkney Is.,Possession of,Part of,Part of,Part of
South Shetland Is.,Possession of,Part of,Part of,Part of
South Sandwich Is.,Possession of,Possession of,Claimed by,Part of
Argentine Antarctica,?,Claimed by,Claimed by,Claimed by
Chilean Antarctica,?,Claimed by,Claimed by,Claimed by
Neu Schwabenland,?,Claimed by,?,?
Peter I I.,?,Dependency of,Dependency of,Dependency of
Queen Maud Land,?,Dependency of,Dependency of,Dependency of
Bouvet I.,Discovered,Discovered,Dependency of,Dependency of
Ross Dependency,Discovered,Discovered,Dependency of,Dependency of
Concessions in China,International,International,?,?
Inter-Allied Commission of Control,?,International,?,?
North-Western Territory,Possession of,?,?,?
Northwest Territories,Part of,Part of,Part of,Part of
Alberta,Part of,Part of,Part of,Part of
Saskatchewan,Part of,Part of,Part of,Part of
Manitoba,Part of,Part of,Part of,Part of
Yukon,?,Part of,Part of,Part of
Nunavut,?,?,Part of,Part of
Labrador,Claimed by,Claimed by,Part of,Part of
Haut-Katanga,?,?,Part of,Part of
Tanganyika,?,?,Part of,Part of
Lualaba,?,?,Part of,Part of
Haut-Lomani,?,?,Part of,Part of
Balearic Islands,Part of,Part of,Part of,Part of
