Sovereign 1816-1885,Sovereign 1886-1949,14
Sovereign 1816-1885,Became part of 1886-1949,9
Sovereign 1886-1949,Sovereign 1950-2019,39
Sovereign 1886-1949,Became protectorate of 1950-2019,1
Sovereign 1886-1949,Occupied by 1950-2019,1
Sovereign 1950-2019,Sovereign 2020-2020,76
Sovereign 1950-2019,Sovereign (unrecognized) 2020-2020,1
Became colony of 1816-1885,Became colony of 1886-1949,49
Became colony of 1816-1885,Became part of 1886-1949,38
Became colony of 1816-1885,Sovereign 1886-1949,5
Became colony of 1816-1885,Sovereign (unrecognized) 1886-1949,3
Became colony of 1816-1885,Became possession of 1886-1949,1
Became colony of 1886-1949,Became colony of 1950-2019,50
Became colony of 1886-1949,Became dependency of 1950-2019,2
Became colony of 1886-1949,Sovereign 1950-2019,9
Became colony of 1886-1949,Became part of 1950-2019,34
Became colony of 1886-1949,Became protectorate of 1950-2019,1
Became colony of 1886-1949,Mandated to 1950-2019,2
Became colony of 1950-2019,Became part of 2020-2020,8
Became colony of 1950-2019,Became colony of 2020-2020,10
Became colony of 1950-2019,Became dependency of 2020-2020,7
Became colony of 1950-2019,Sovereign 2020-2020,37
Became colony of 1950-2019,Sovereign (unrecognized) 2020-2020,1
Became colony of 1950-2019,Claimed by 2020-2020,1
Became colony of 1950-2019,Became associated state of 2020-2020,2
Sovereign (limited) 1816-1885,Sovereign (limited) 1886-1949,1
Sovereign (limited) 1816-1885,Sovereign (unrecognized) 1886-1949,1
Sovereign (limited) 1816-1885,Became part of 1886-1949,15
Sovereign (limited) 1886-1949,Became colony of 1950-2019,1
Became part of 1816-1885,Became colony of 1886-1949,23
Became part of 1816-1885,Became part of 1886-1949,325
Became part of 1816-1885,Sovereign 1886-1949,13
Became part of 1816-1885,Occupied by 1886-1949,5
Became part of 1816-1885,Became protectorate of 1886-1949,10
Became part of 1816-1885,Leased to 1886-1949,3
Became part of 1816-1885,Sovereign (unrecognized) 1886-1949,6
Became part of 1816-1885,Became possession of 1886-1949,3
Became part of 1816-1885,Unknown 1886-1949,2
Became part of 1816-1885,Became vassal of 1886-1949,13
Became part of 1886-1949,Became part of 1950-2019,447
Became part of 1886-1949,Sovereign 1950-2019,17
Became part of 1886-1949,Leased to 1950-2019,4
Became part of 1886-1949,Became protectorate of 1950-2019,4
Became part of 1886-1949,Occupied by 1950-2019,11
Became part of 1886-1949,Mandated to 1950-2019,5
Became part of 1886-1949,Sovereign (unrecognized) 1950-2019,2
Became part of 1886-1949,Became colony of 1950-2019,10
Became part of 1886-1949,Claimed by 1950-2019,3
Became part of 1886-1949,Became dependency of 1950-2019,3
Became part of 1886-1949,Became neutral or demilitarized zone of 1950-2019,3
Became part of 1950-2019,Became part of 2020-2020,578
Became part of 1950-2019,Sovereign 2020-2020,49
Became part of 1950-2019,Became colony of 2020-2020,5
Became part of 1950-2019,Sovereign (unrecognized) 2020-2020,8
Became part of 1950-2019,Became dependency of 2020-2020,43
Became part of 1950-2019,Leased to 2020-2020,2
Became part of 1950-2019,Became neutral or demilitarized zone of 2020-2020,4
Became part of 1950-2019,Became possession of 2020-2020,1
Became part of 1950-2019,Claimed by 2020-2020,1
Became part of 1950-2019,Occupied by 2020-2020,2
Became dependency of 1950-2019,Became dependency of 2020-2020,21
Became dependency of 1950-2019,Sovereign 2020-2020,1
Became dependency of 1950-2019,Became colony of 2020-2020,1
Sovereign (unrecognized) 1816-1885,Sovereign 1886-1949,5
Sovereign (unrecognized) 1816-1885,Sovereign (unrecognized) 1886-1949,81
Sovereign (unrecognized) 1816-1885,Became part of 1886-1949,47
Sovereign (unrecognized) 1816-1885,Became colony of 1886-1949,5
Sovereign (unrecognized) 1816-1885,Became protectorate of 1886-1949,6
Sovereign (unrecognized) 1816-1885,Occupied by 1886-1949,5
Sovereign (unrecognized) 1816-1885,Unknown 1886-1949,1
Sovereign (unrecognized) 1816-1885,Became vassal of 1886-1949,13
Leased to 1950-2019,Became part of 2020-2020,4
Leased to 1950-2019,Leased to 2020-2020,1
Occupied by 1816-1885,Became colony of 1886-1949,1
Occupied by 1816-1885,Became part of 1886-1949,6
Occupied by 1816-1885,Became possession of 1886-1949,1
Occupied by 1816-1885,Became vassal of 1886-1949,1
Occupied by 1816-1885,Occupied by 1886-1949,1
Became protectorate of 1816-1885,Sovereign (unrecognized) 1886-1949,1
Became protectorate of 1816-1885,Became protectorate of 1886-1949,5
Became protectorate of 1816-1885,Became part of 1886-1949,7
Became protectorate of 1816-1885,Occupied by 1886-1949,1
Became protectorate of 1816-1885,Became colony of 1886-1949,1
Sovereign (unrecognized) 1886-1949,Sovereign (unrecognized) 1950-2019,6
Sovereign (unrecognized) 1886-1949,Became part of 1950-2019,61
Sovereign (unrecognized) 1886-1949,Sovereign 1950-2019,6
Sovereign (unrecognized) 1886-1949,Became protectorate of 1950-2019,6
Sovereign (unrecognized) 1886-1949,Became colony of 1950-2019,2
Sovereign (unrecognized) 1886-1949,Mandated to 1950-2019,1
Sovereign (unrecognized) 1886-1949,Became vassal of 1950-2019,2
Sovereign (unrecognized) 1950-2019,Sovereign 2020-2020,6
Sovereign (unrecognized) 1950-2019,Became part of 2020-2020,3
Sovereign (unrecognized) 1950-2019,Sovereign (unrecognized) 2020-2020,1
Sovereign (unrecognized) 1950-2019,Became dependency of 2020-2020,1
Informal 1816-1885,Sovereign 1886-1949,2
Informal 1816-1885,Informal 1886-1949,1
Became protectorate of 1950-2019,Became part of 2020-2020,4
Became protectorate of 1950-2019,Sovereign 2020-2020,15
Became protectorate of 1950-2019,Sovereign (unrecognized) 2020-2020,1
Became protectorate of 1950-2019,Became protectorate of 2020-2020,2
Became protectorate of 1950-2019,Became dependency of 2020-2020,1
Occupied by 1886-1949,Sovereign (unrecognized) 1950-2019,2
Occupied by 1886-1949,Became part of 1950-2019,14
Occupied by 1886-1949,Became colony of 1950-2019,1
Occupied by 1886-1949,Mandated to 1950-2019,2
Occupied by 1886-1949,Sovereign 1950-2019,3
Occupied by 1886-1949,Became possession of 1950-2019,1
Occupied by 1950-2019,Became part of 2020-2020,13
Occupied by 1950-2019,Sovereign 2020-2020,3
Occupied by 1950-2019,Became neutral or demilitarized zone of 2020-2020,1
Occupied by 1950-2019,Occupied by 2020-2020,2
Occupied by 1950-2019,Became possession of 2020-2020,1
Mandated to 1950-2019,Became part of 2020-2020,3
Mandated to 1950-2019,Sovereign 2020-2020,8
Became vassal of 1816-1885,Sovereign 1886-1949,1
Became vassal of 1816-1885,Became protectorate of 1886-1949,4
Became vassal of 1816-1885,Occupied by 1886-1949,2
Became vassal of 1816-1885,Unknown 1886-1949,1
Became vassal of 1816-1885,Became vassal of 1886-1949,59
Became vassal of 1816-1885,Became part of 1886-1949,6
Became vassal of 1816-1885,Sovereign (unrecognized) 1886-1949,1
Became vassal of 1816-1885,Became colony of 1886-1949,1
Became protectorate of 1886-1949,Became part of 1950-2019,18
Became protectorate of 1886-1949,Became colony of 1950-2019,5
Became protectorate of 1886-1949,Became protectorate of 1950-2019,11
Became protectorate of 1886-1949,Became dependency of 1950-2019,1
Became protectorate of 1886-1949,Sovereign 1950-2019,2
Became protectorate of 1886-1949,Occupied by 1950-2019,1
Mandated to 1886-1949,Mandated to 1950-2019,4
Became discovered 1816-1885,Became discovered 1886-1949,51
Became discovered 1816-1885,Became protectorate of 1886-1949,3
Became discovered 1816-1885,Became colony of 1886-1949,13
Became discovered 1816-1885,Sovereign (unrecognized) 1886-1949,2
Became discovered 1816-1885,Became part of 1886-1949,21
Became discovered 1816-1885,Claimed by 1886-1949,16
Became discovered 1816-1885,Became possession of 1886-1949,6
Became discovered 1816-1885,Occupied by 1886-1949,1
Became discovered 1886-1949,Became colony of 1950-2019,6
Became discovered 1886-1949,Mandated to 1950-2019,1
Became discovered 1886-1949,Became protectorate of 1950-2019,2
Became discovered 1886-1949,Became part of 1950-2019,15
Became discovered 1886-1949,Became possession of 1950-2019,12
Became discovered 1886-1949,Claimed by 1950-2019,1
Became discovered 1886-1949,Became discovered 1950-2019,1
Became discovered 1886-1949,Became dependency of 1950-2019,6
Became discovered 1886-1949,Occupied by 1950-2019,5
Unknown 1816-1885,Became part of 1886-1949,37
Unknown 1816-1885,Unknown 1886-1949,47
Unknown 1816-1885,Occupied by 1886-1949,1
Unknown 1816-1885,Became possession of 1886-1949,2
Unknown 1816-1885,Sovereign (unrecognized) 1886-1949,2
Unknown 1816-1885,Became vassal of 1886-1949,2
Unknown 1816-1885,Became protectorate of 1886-1949,2
Leased to 1886-1949,Became colony of 1950-2019,1
Leased to 1886-1949,Became part of 1950-2019,7
Leased to 1886-1949,Leased to 1950-2019,1
Leased to 1886-1949,Became protectorate of 1950-2019,1
Informal 1886-1949,Sovereign 1950-2019,1
Claimed by 1816-1885,Became part of 1886-1949,2
Claimed by 1816-1885,Claimed by 1886-1949,6
Claimed by 1816-1885,Became possession of 1886-1949,2
Became possession of 1886-1949,Became part of 1950-2019,9
Became possession of 1886-1949,Became possession of 1950-2019,22
Became possession of 1816-1885,Became part of 1886-1949,14
Became possession of 1816-1885,Became possession of 1886-1949,13
Became possession of 1816-1885,Claimed by 1886-1949,1
Became possession of 1816-1885,Became colony of 1886-1949,1
Claimed by 1886-1949,Became dependency of 1950-2019,6
Claimed by 1886-1949,Claimed by 1950-2019,15
Claimed by 1886-1949,Became part of 1950-2019,5
Claimed by 1886-1949,Became possession of 1950-2019,1
Claimed by 1886-1949,Became neutral or demilitarized zone of 1950-2019,2
Became possession of 1950-2019,Became possession of 2020-2020,23
Became possession of 1950-2019,Became part of 2020-2020,9
Became possession of 1950-2019,Became dependency of 2020-2020,4
Claimed by 1950-2019,Became part of 2020-2020,14
Claimed by 1950-2019,Claimed by 2020-2020,3
Claimed by 1950-2019,Occupied by 2020-2020,1
Claimed by 1950-2019,Became dependency of 2020-2020,1
Became discovered 1950-2019,Became part of 2020-2020,1
Became neutral or demilitarized zone of 1816-1885,Became neutral or demilitarized zone of 1886-1949,3
Became neutral or demilitarized zone of 1886-1949,Became part of 1950-2019,2
Became neutral or demilitarized zone of 1886-1949,Became neutral or demilitarized zone of 1950-2019,2
Became neutral or demilitarized zone of 1950-2019,Became neutral or demilitarized zone of 2020-2020,3
Became neutral or demilitarized zone of 1950-2019,Became part of 2020-2020,4
Unknown 1886-1949,Became part of 1950-2019,47
Unknown 1886-1949,Became vassal of 1950-2019,1
Became vassal of 1886-1949,Became part of 1950-2019,75
Became vassal of 1886-1949,Occupied by 1950-2019,1
Became vassal of 1886-1949,Became vassal of 1950-2019,6
Became vassal of 1886-1949,Unknown 1950-2019,1
Leased to 1816-1885,Became part of 1886-1949,2
Became vassal of 1950-2019,Became part of 2020-2020,3
Unknown 1950-2019,Became part of 2020-2020,1
Became dependency of 1816-1885,Became dependency of 1886-1949,1
Became dependency of 1886-1949,Became dependency of 1950-2019,3
International 1816-1885,International 1886-1949,1
International 1886-1949,International 1950-2019,1
International 1950-2019,International 2020-2020,1