source,target,nb
International 1886-1949,International 1950-2019,1
International 1950-2019,International 2020-2020,1
Sovereign 1816-1885,Sovereign 1886-1949,14
Sovereign 1816-1885,Part of 1886-1949,7
Sovereign 1886-1949,Sovereign 1950-2019,39
Sovereign 1886-1949,Part of 1950-2019,1
Sovereign 1886-1949,Protectorate of 1950-2019,1
Sovereign 1886-1949,Occupied by 1950-2019,1
Sovereign 1950-2019,Sovereign 2020-2020,75
Sovereign 1950-2019,Sovereign (unrecognized) 2020-2020,1
Colony of 1816-1885,Colony of 1886-1949,51
Colony of 1816-1885,Part of 1886-1949,38
Colony of 1816-1885,Sovereign 1886-1949,5
Colony of 1816-1885,Sovereign (unrecognized) 1886-1949,2
Colony of 1816-1885,Possession of 1886-1949,1
Colony of 1886-1949,Colony of 1950-2019,48
Colony of 1886-1949,Dependency of 1950-2019,2
Colony of 1886-1949,Sovereign 1950-2019,9
Colony of 1886-1949,Part of 1950-2019,34
Colony of 1886-1949,Protectorate of 1950-2019,2
Colony of 1886-1949,Mandated to 1950-2019,3
Colony of 1886-1949,Occupied by 1950-2019,1
Colony of 1950-2019,Part of 2020-2020,7
Colony of 1950-2019,Colony of 2020-2020,10
Colony of 1950-2019,Dependency of 2020-2020,7
Colony of 1950-2019,Sovereign 2020-2020,33
Colony of 1950-2019,Sovereign (unrecognized) 2020-2020,1
Colony of 1950-2019,Claimed by 2020-2020,1
Colony of 1950-2019,Associated state of 2020-2020,2
Sovereign (limited) 1816-1885,Sovereign (limited) 1886-1949,2
Sovereign (limited) 1816-1885,Sovereign (unrecognized) 1886-1949,1
Sovereign (limited) 1816-1885,Part of 1886-1949,23
Sovereign (limited) 1886-1949,Colony of 1950-2019,1
Sovereign (limited) 1886-1949,Sovereign 1950-2019,1
Part of 1816-1885,Colony of 1886-1949,21
Part of 1816-1885,Part of 1886-1949,335
Part of 1816-1885,Sovereign 1886-1949,12
Part of 1816-1885,Occupied by 1886-1949,4
Part of 1816-1885,Protectorate of 1886-1949,10
Part of 1816-1885,Vassal of 1886-1949,15
Part of 1816-1885,Sovereign (unrecognized) 1886-1949,9
Part of 1816-1885,Leased to 1886-1949,3
Part of 1816-1885,Possession of 1886-1949,3
Part of 1816-1885,Unknown 1886-1949,2
Part of 1886-1949,Part of 1950-2019,466
Part of 1886-1949,Sovereign 1950-2019,14
Part of 1886-1949,Leased to 1950-2019,3
Part of 1886-1949,Protectorate of 1950-2019,4
Part of 1886-1949,Occupied by 1950-2019,12
Part of 1886-1949,Mandated to 1950-2019,1
Part of 1886-1949,Sovereign (unrecognized) 1950-2019,3
Part of 1886-1949,Colony of 1950-2019,7
Part of 1886-1949,Claimed by 1950-2019,3
Part of 1886-1949,Dependency of 1950-2019,3
Part of 1886-1949,Neutral or demilitarized zone of 1950-2019,3
Part of 1886-1949,Dissolved into 1950-2019,1
Part of 1950-2019,Part of 2020-2020,594
Part of 1950-2019,Sovereign 2020-2020,50
Part of 1950-2019,Colony of 2020-2020,5
Part of 1950-2019,Sovereign (unrecognized) 2020-2020,8
Part of 1950-2019,Dependency of 2020-2020,43
Part of 1950-2019,Leased to 2020-2020,2
Part of 1950-2019,Neutral or demilitarized zone of 2020-2020,4
Part of 1950-2019,Possession of 2020-2020,1
Part of 1950-2019,Claimed by 2020-2020,1
Part of 1950-2019,Occupied by 2020-2020,2
Dependency of 1950-2019,Dependency of 2020-2020,23
Dependency of 1950-2019,Sovereign 2020-2020,1
Dependency of 1950-2019,Colony of 2020-2020,1
Dependency of 1950-2019,Part of 2020-2020,1
Sovereign (unrecognized) 1816-1885,Sovereign 1886-1949,5
Sovereign (unrecognized) 1816-1885,Sovereign (unrecognized) 1886-1949,93
Sovereign (unrecognized) 1816-1885,Part of 1886-1949,51
Sovereign (unrecognized) 1816-1885,Colony of 1886-1949,5
Sovereign (unrecognized) 1816-1885,Protectorate of 1886-1949,7
Sovereign (unrecognized) 1816-1885,Occupied by 1886-1949,6
Sovereign (unrecognized) 1816-1885,Unknown 1886-1949,1
Sovereign (unrecognized) 1816-1885,Vassal of 1886-1949,13
Leased to 1950-2019,Part of 2020-2020,3
Leased to 1950-2019,Leased to 2020-2020,1
Occupied by 1816-1885,Colony of 1886-1949,1
Occupied by 1816-1885,Part of 1886-1949,5
Occupied by 1816-1885,Protectorate of 1886-1949,1
Occupied by 1816-1885,Possession of 1886-1949,1
Occupied by 1816-1885,Vassal of 1886-1949,1
Occupied by 1816-1885,Occupied by 1886-1949,1
Protectorate of 1816-1885,Sovereign (unrecognized) 1886-1949,1
Protectorate of 1816-1885,Protectorate of 1886-1949,9
Protectorate of 1816-1885,Part of 1886-1949,7
Protectorate of 1816-1885,Occupied by 1886-1949,1
Protectorate of 1816-1885,Colony of 1886-1949,1
Sovereign (unrecognized) 1886-1949,Sovereign (unrecognized) 1950-2019,7
Sovereign (unrecognized) 1886-1949,Sovereign 1950-2019,6
Sovereign (unrecognized) 1886-1949,Part of 1950-2019,68
Sovereign (unrecognized) 1886-1949,Protectorate of 1950-2019,8
Sovereign (unrecognized) 1886-1949,Associated state of 1950-2019,1
Sovereign (unrecognized) 1886-1949,Colony of 1950-2019,2
Sovereign (unrecognized) 1886-1949,Mandated to 1950-2019,1
Sovereign (unrecognized) 1886-1949,Vassal of 1950-2019,2
Sovereign (unrecognized) 1950-2019,Sovereign 2020-2020,6
Sovereign (unrecognized) 1950-2019,Part of 2020-2020,5
Sovereign (unrecognized) 1950-2019,Sovereign (unrecognized) 2020-2020,1
Sovereign (unrecognized) 1950-2019,Dependency of 2020-2020,1
Informal 1816-1885,Sovereign 1886-1949,2
Informal 1816-1885,Informal 1886-1949,3
Protectorate of 1950-2019,Part of 2020-2020,5
Protectorate of 1950-2019,Sovereign 2020-2020,19
Protectorate of 1950-2019,Sovereign (unrecognized) 2020-2020,1
Protectorate of 1950-2019,Protectorate of 2020-2020,2
Protectorate of 1950-2019,Dependency of 2020-2020,1
Occupied by 1886-1949,Sovereign (unrecognized) 1950-2019,2
Occupied by 1886-1949,Part of 1950-2019,14
Occupied by 1886-1949,Mandated to 1950-2019,3
Occupied by 1886-1949,Sovereign 1950-2019,3
Occupied by 1886-1949,Possession of 1950-2019,1
Occupied by 1950-2019,Part of 2020-2020,14
Occupied by 1950-2019,Sovereign 2020-2020,4
Occupied by 1950-2019,Neutral or demilitarized zone of 2020-2020,1
Occupied by 1950-2019,Occupied by 2020-2020,2
Occupied by 1950-2019,Possession of 2020-2020,1
Mandated to 1950-2019,Part of 2020-2020,1
Mandated to 1950-2019,Sovereign 2020-2020,6
Vassal of 1816-1885,Sovereign 1886-1949,3
Vassal of 1816-1885,Protectorate of 1886-1949,4
Vassal of 1816-1885,Occupied by 1886-1949,1
Vassal of 1816-1885,Vassal of 1886-1949,61
Vassal of 1816-1885,Part of 1886-1949,10
Vassal of 1816-1885,Unknown 1886-1949,1
Vassal of 1816-1885,Sovereign (unrecognized) 1886-1949,1
Vassal of 1816-1885,Colony of 1886-1949,2
Protectorate of 1886-1949,Colony of 1950-2019,8
Protectorate of 1886-1949,Part of 1950-2019,18
Protectorate of 1886-1949,Mandated to 1950-2019,1
Protectorate of 1886-1949,Protectorate of 1950-2019,13
Protectorate of 1886-1949,Dependency of 1950-2019,2
Protectorate of 1886-1949,Sovereign 1950-2019,2
Protectorate of 1886-1949,Occupied by 1950-2019,1
Vassal of 1886-1949,Sovereign 1950-2019,1
Vassal of 1886-1949,Part of 1950-2019,78
Vassal of 1886-1949,Protectorate of 1950-2019,1
Vassal of 1886-1949,Occupied by 1950-2019,1
Vassal of 1886-1949,Vassal of 1950-2019,6
Vassal of 1886-1949,Unknown 1950-2019,1
Informal 1950-2019,Informal 2020-2020,1
Mandated to 1886-1949,Mandated to 1950-2019,3
Mandated to 1886-1949,Part of 1950-2019,1
Discovered 1816-1885,Protectorate of 1886-1949,4
Discovered 1816-1885,Colony of 1886-1949,11
Discovered 1816-1885,Possession of 1886-1949,8
Discovered 1816-1885,Discovered 1886-1949,42
Discovered 1816-1885,Sovereign (unrecognized) 1886-1949,1
Discovered 1816-1885,Part of 1886-1949,19
Discovered 1816-1885,Claimed by 1886-1949,16
Discovered 1816-1885,Occupied by 1886-1949,1
Claimed by 1886-1949,Part of 1950-2019,7
Claimed by 1886-1949,Dependency of 1950-2019,6
Claimed by 1886-1949,Claimed by 1950-2019,15
Claimed by 1886-1949,Possession of 1950-2019,1
Claimed by 1886-1949,Neutral or demilitarized zone of 1950-2019,2
Possession of 1886-1949,Colony of 1950-2019,1
Possession of 1886-1949,Part of 1950-2019,11
Possession of 1886-1949,Possession of 1950-2019,22
Possession of 1886-1949,Dependency of 1950-2019,2
Possession of 1886-1949,Claimed by 1950-2019,1
Discovered 1886-1949,Colony of 1950-2019,3
Discovered 1886-1949,Protectorate of 1950-2019,2
Discovered 1886-1949,Part of 1950-2019,13
Discovered 1886-1949,Possession of 1950-2019,12
Discovered 1886-1949,Discovered 1950-2019,1
Discovered 1886-1949,Dependency of 1950-2019,6
Discovered 1886-1949,Occupied by 1950-2019,5
Unknown 1816-1885,Protectorate of 1886-1949,3
Unknown 1816-1885,Part of 1886-1949,36
Unknown 1816-1885,Unknown 1886-1949,33
Unknown 1816-1885,Occupied by 1886-1949,1
Unknown 1816-1885,Possession of 1886-1949,3
Unknown 1816-1885,Colony of 1886-1949,1
Unknown 1816-1885,Sovereign (unrecognized) 1886-1949,2
Unknown 1816-1885,Vassal of 1886-1949,2
Dependency of 1816-1885,Vassal of 1886-1949,1
Dependency of 1816-1885,Dependency of 1886-1949,2
Associated state of 1950-2019,Sovereign 2020-2020,1
Informal 1886-1949,Colony of 1950-2019,1
Informal 1886-1949,Sovereign 1950-2019,1
Leased to 1886-1949,Colony of 1950-2019,1
Leased to 1886-1949,Leased to 1950-2019,3
Leased to 1886-1949,Part of 1950-2019,1
Claimed by 1816-1885,Part of 1886-1949,2
Claimed by 1816-1885,Claimed by 1886-1949,7
Claimed by 1816-1885,Possession of 1886-1949,2
Possession of 1816-1885,Part of 1886-1949,13
Possession of 1816-1885,Possession of 1886-1949,17
Possession of 1816-1885,Claimed by 1886-1949,1
Possession of 1816-1885,Colony of 1886-1949,1
Possession of 1950-2019,Possession of 2020-2020,23
Possession of 1950-2019,Part of 2020-2020,9
Possession of 1950-2019,Dependency of 2020-2020,4
Claimed by 1950-2019,Part of 2020-2020,14
Claimed by 1950-2019,Claimed by 2020-2020,3
Claimed by 1950-2019,Occupied by 2020-2020,1
Claimed by 1950-2019,Dependency of 2020-2020,1
Discovered 1950-2019,Part of 2020-2020,1
Dependency of 1886-1949,Dependency of 1950-2019,4
Neutral or demilitarized zone of 1816-1885,Neutral or demilitarized zone of 1886-1949,3
Neutral or demilitarized zone of 1886-1949,Part of 1950-2019,2
Neutral or demilitarized zone of 1886-1949,Neutral or demilitarized zone of 1950-2019,2
Neutral or demilitarized zone of 1950-2019,Neutral or demilitarized zone of 2020-2020,3
Neutral or demilitarized zone of 1950-2019,Part of 2020-2020,4
Unknown 1886-1949,Part of 1950-2019,35
Unknown 1886-1949,Vassal of 1950-2019,1
Leased to 1816-1885,Part of 1886-1949,1
Vassal of 1950-2019,Part of 2020-2020,3
Unknown 1950-2019,Part of 2020-2020,1
International 1816-1885,International 1886-1949,1
